entity,n-revs
vllm/v1/attention/backends/mla/common.py,112
vllm/v1/engine/llm_engine.py,112
vllm/model_executor/model_loader/loader.py,112
vllm/v1/attention/backends/flashinfer.py,112
vllm/model_executor/layers/linear.py,112
vllm/distributed/kv_transfer/kv_connector/v1/nixl_connector.py,110
vllm/multimodal/processing.py,108
tests/utils.py,106
vllm/model_executor/models/interfaces.py,105
examples/offline_inference/vision_language.py,103
vllm/sampling_params.py,103
vllm/model_executor/models/internvl.py,102
vllm/model_executor/layers/quantization/modelopt.py,102
docker/Dockerfile,101
vllm/utils/__init__.py,100
benchmarks/benchmark_serving.py,100
tests/models/multimodal/processing/test_common.py,100
vllm/platforms/cpu.py,100
requirements/common.txt,99
vllm/v1/engine/core_client.py,99
vllm/model_executor/models/llava_next.py,99
vllm/config/__init__.py,98
vllm/compilation/backends.py,97
vllm/model_executor/models/mixtral.py,96
vllm/model_executor/models/qwen2.py,96
vllm/v1/worker/gpu_input_batch.py,95
Dockerfile,94
vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors.py,93
vllm/model_executor/models/ultravox.py,93
vllm/model_executor/model_loader/weight_utils.py,90
vllm/platforms/tpu.py,90
requirements-common.txt,89
vllm/platforms/xpu.py,89
vllm/model_executor/models/molmo.py,89
vllm/model_executor/models/utils.py,89
vllm/attention/backends/flash_attn.py,88
vllm/v1/core/kv_cache_utils.py,88
vllm/model_executor/models/qwen.py,88
vllm/model_executor/layers/sampler.py,87
benchmarks/benchmark_throughput.py,87
vllm/v1/core/kv_cache_manager.py,87
vllm/multimodal/registry.py,87
vllm/multimodal/utils.py,87
vllm/model_executor/layers/quantization/utils/fp8_utils.py,87
docs/source/index.rst,86
requirements/test.txt,85
tests/v1/core/test_scheduler.py,84
vllm/model_executor/layers/rotary_embedding.py,84
vllm/model_executor/models/qwen3_vl.py,83
vllm/transformers_utils/configs/__init__.py,83
vllm/model_executor/layers/quantization/gptq_marlin.py,82
vllm/v1/attention/backends/utils.py,82
vllm/config/vllm.py,82
vllm/config/compilation.py,82
vllm/attention/backends/flashinfer.py,82
tests/distributed/test_pipeline_parallel.py,82
vllm/transformers_utils/tokenizer.py,82
vllm/lora/models.py,82
vllm/entrypoints/openai/cli_args.py,82
vllm/model_executor/models/chameleon.py,82
vllm/model_executor/models/fuyu.py,82
vllm/entrypoints/openai/serving_responses.py,80
requirements/test.in,80
vllm/attention/backends/rocm_flash_attn.py,79
vllm/model_executor/models/baichuan.py,79
vllm/v1/executor/multiproc_executor.py,79
vllm/attention/selector.py,79
vllm/model_executor/models/paligemma.py,79
vllm/inputs/preprocess.py,78
vllm/model_executor/models/blip2.py,76
vllm/model_executor/models/llava_onevision.py,75
vllm/spec_decode/spec_decode_worker.py,75
vllm/multimodal/inputs.py,75
vllm/model_executor/models/chatglm.py,75
vllm/model_executor/models/glm4_1v.py,74
vllm/v1/metrics/loggers.py,74
examples/offline_inference/vision_language_multi_image.py,73
vllm/model_executor/models/jamba.py,73
vllm/attention/backends/abstract.py,72
benchmarks/benchmark_latency.py,71
tests/entrypoints/openai/test_serving_chat.py,71
tests/v1/core/test_kv_cache_utils.py,69
tests/v1/worker/test_gpu_model_runner.py,69
vllm/model_executor/models/whisper.py,69
.buildkite/test-amd.yaml,69
vllm/worker/worker_base.py,69
vllm/model_executor/models/qwen2_audio.py,69
vllm/model_executor/models/transformers.py,68
vllm/model_executor/models/mllama.py,68
vllm/model_executor/models/gpt_bigcode.py,67
vllm/worker/cpu_model_runner.py,67
tests/test_config.py,67
.buildkite/release-pipeline.yaml,67
vllm/executor/ray_gpu_executor.py,66
vllm/engine/protocol.py,66
vllm/model_executor/models/gemma.py,66
vllm/lora/layers.py,66
vllm/model_executor/models/gpt2.py,66
vllm/model_executor/layers/quantization/mxfp4.py,66
vllm/executor/executor_base.py,65
vllm/model_executor/models/gpt_j.py,65
vllm/inputs/registry.py,64
vllm/model_executor/models/gemma3_mm.py,64
vllm/v1/request.py,64
vllm/v1/worker/tpu_worker.py,64
vllm/outputs.py,63
tests/quantization/test_compressed_tensors.py,63
vllm/model_executor/models/gpt_neox.py,63
vllm/model_executor/models/falcon.py,63
.pre-commit-config.yaml,63
vllm/model_executor/models/idefics3.py,62
tests/v1/core/test_prefix_caching.py,62
vllm/model_executor/layers/quantization/__init__.py,62
vllm/model_executor/model_loader/utils.py,62
vllm/model_executor/models/bert.py,62
vllm/model_executor/models/internlm2.py,62
vllm/model_executor/models/deepseek_vl2.py,62
vllm/model_executor/models/opt.py,62
vllm/model_executor/models/siglip.py,61
vllm/entrypoints/openai/run_batch.py,61
vllm/model_executor/models/llava_next_video.py,61
vllm/model_executor/models/qwen2_moe.py,61
vllm/entrypoints/openai/serving_embedding.py,61
benchmarks/kernels/benchmark_moe.py,61
vllm/benchmarks/datasets.py,61
vllm/model_executor/models/config.py,61
vllm/model_executor/models/bloom.py,60
.github/CODEOWNERS,60
tests/lora/conftest.py,60
tests/models/test_initialization.py,60
vllm/model_executor/models/qwen2_5_omni_thinker.py,60
vllm/model_executor/layers/activation.py,59
tests/models/decoder_only/vision_language/test_models.py,59
vllm/engine/metrics.py,59
vllm/model_executor/models/gemma2.py,59
vllm/model_executor/models/aria.py,59
tests/entrypoints/test_chat_utils.py,58
tests/models/utils.py,58
vllm/model_executor/models/minicpm.py,58
vllm/benchmarks/serve.py,58
vllm/multimodal/profiling.py,58
tests/models/multimodal/generation/test_common.py,58
vllm/model_executor/models/commandr.py,58
vllm/model_executor/layers/quantization/utils/w8a8_utils.py,58
vllm/__init__.py,57
vllm/v1/attention/backends/triton_attn.py,57
vllm/model_executor/models/mpt.py,56
tests/v1/engine/test_engine_core_client.py,56
tests/v1/kv_connector/unit/test_nixl_connector.py,56
vllm/model_executor/models/clip.py,56
vllm/model_executor/layers/quantization/awq_marlin.py,56
csrc/cache_kernels.cu,56
tests/v1/entrypoints/llm/test_struct_output_generate.py,55
docs/source/conf.py,55
vllm/engine/multiprocessing/client.py,55
vllm/model_executor/layers/fused_moe/modular_kernel.py,55
tests/multimodal/test_processing.py,55
vllm/model_executor/models/phi.py,54
docs/source/serving/openai_compatible_server.md,54
vllm/multimodal/base.py,54
vllm/compilation/decorators.py,54
benchmarks/backend_request_func.py,54
vllm/attention/backends/xformers.py,54
vllm/transformers_utils/tokenizers/mistral.py,53
vllm/v1/worker/utils.py,53
vllm/v1/engine/__init__.py,52
vllm/worker/cpu_worker.py,52
vllm/v1/engine/output_processor.py,52
vllm/model_executor/layers/fused_moe/cutlass_moe.py,51
vllm/model_executor/layers/mamba/mamba_mixer2.py,51
vllm/model_executor/models/qwen3_moe.py,51
vllm/config/parallel.py,51
vllm/model_executor/models/qwen3_next.py,51
tests/v1/engine/test_engine_core.py,51
vllm/model_executor/models/mllama4.py,51
tests/lora/test_layers.py,50
requirements.txt,50
vllm/model_executor/layers/pooler.py,50
vllm/model_executor/models/stablelm.py,49
vllm/model_executor/models/starcoder2.py,49
vllm/worker/tpu_model_runner.py,48
.buildkite/run-cpu-test.sh,48
vllm/entrypoints/api_server.py,48
vllm/forward_context.py,48
tests/basic_correctness/test_basic_correctness.py,48
vllm/v1/attention/backends/flex_attention.py,48
vllm/model_executor/models/olmo.py,48
vllm/model_executor/models/dbrx.py,48
tests/engine/test_arg_utils.py,47
vllm/model_executor/models/phimoe.py,47
vllm/attention/backends/utils.py,47
vllm/platforms/__init__.py,47
vllm/attention/backends/torch_sdpa.py,47
.gitignore,47
vllm/worker/xpu_model_runner.py,47
tests/kernels/test_attention.py,47
format.sh,47
vllm/executor/ray_utils.py,47
vllm/model_executor/models/adapters.py,47
vllm/v1/attention/backends/mla/flashmla.py,46
vllm/model_executor/layers/fused_moe/config.py,46
vllm/model_executor/layers/fused_moe/deep_gemm_moe.py,46
vllm/v1/utils.py,46
vllm/v1/structured_output/__init__.py,46
cmake/cpu_extension.cmake,46
vllm/model_executor/layers/layernorm.py,46
vllm/v1/worker/gpu/model_runner.py,45
vllm/v1/attention/backends/mla/rocm_aiter_mla.py,45
Dockerfile.rocm,45
tests/samplers/test_sampler.py,45
vllm/model_executor/layers/quantization/bitsandbytes.py,45
vllm/v1/outputs.py,45
vllm/utils/deep_gemm.py,45
vllm/model_executor/models/keye.py,45
vllm/model_executor/models/granite.py,45
vllm/model_executor/models/phi4mm.py,45
vllm/model_executor/model_loader.py,45
tests/kernels/test_cache.py,44
.github/mergify.yml,44
vllm/model_executor/layers/quantization/utils/marlin_utils.py,44
vllm/model_executor/models/mistral3.py,44
vllm/v1/metrics/stats.py,44
vllm/model_executor/model_loader/tensorizer.py,44
vllm/engine/multiprocessing/engine.py,44
vllm/model_executor/models/deepseek.py,44
vllm/utils/flashinfer.py,44
vllm/distributed/kv_transfer/kv_connector/v1/base.py,44
tests/kernels/moe/test_moe.py,44
docs/source/getting_started/installation.rst,43
vllm/model_executor/models/vision.py,43
vllm/model_executor/models/orion.py,43
vllm/v1/core/scheduler.py,43
vllm/model_executor/models/mamba.py,43
docs/serving/openai_compatible_server.md,43
vllm/distributed/device_communicators/shm_broadcast.py,43
tests/entrypoints/openai/test_chat.py,43
tests/kernels/utils.py,43
tests/v1/e2e/test_spec_decode.py,43
vllm/executor/gpu_executor.py,43
vllm/v1/attention/backends/pallas.py,43
tests/v1/spec_decode/test_eagle.py,42
vllm/v1/attention/backends/rocm_aiter_fa.py,42
vllm/model_executor/models/arctic.py,42
vllm/lora/utils.py,42
vllm/model_executor/layers/quantization/gguf.py,42
requirements-test.txt,42
tests/entrypoints/openai/test_vision.py,42
vllm/entrypoints/cli/serve.py,42
vllm/inputs/data.py,42
tests/test_utils.py,41
vllm/model_executor/models/qwen3_omni_moe_thinker.py,41
vllm/model_executor/models/nemotron.py,41
vllm/compilation/compiler_interface.py,41
vllm/model_executor/models/qwen_vl.py,41
vllm/lora/worker_manager.py,41
docs/features/tool_calling.md,41
vllm/model_executor/custom_op.py,41
vllm/multimodal/image.py,41
vllm/v1/sample/sampler.py,41
vllm/model_executor/models/gpt_oss.py,40
tests/entrypoints/test_openai_server.py,40
vllm/model_executor/models/modernbert.py,40
vllm/model_executor/models/olmoe.py,40
vllm/executor/ray_distributed_executor.py,40
vllm/entrypoints/openai/serving_score.py,40
vllm/model_executor/models/ernie45_vl.py,40
vllm/entrypoints/openai/serving_tokenization.py,40
vllm/model_executor/models/exaone.py,40
vllm/model_executor/sampling_metadata.py,40
vllm/model_executor/layers/fused_moe/__init__.py,40
vllm/model_executor/models/mixtral_quant.py,39
vllm/model_executor/models/glm4v.py,39
vllm/multimodal/video.py,39
vllm/model_executor/models/granitemoe.py,39
vllm/logger.py,39
vllm/attention/backends/mla/common.py,39
vllm/model_executor/layers/fused_moe/batched_deep_gemm_moe.py,39
vllm/model_executor/layers/attention.py,39
tests/v1/kv_connector/unit/utils.py,39
vllm/model_executor/models/solar.py,39
vllm/spec_decode/draft_model_runner.py,39
vllm/worker/enc_dec_model_runner.py,39
vllm/model_executor/layers/fused_moe/fused_marlin_moe.py,38
tests/quantization/test_fp8.py,38
vllm/model_executor/models/jais.py,38
tests/core/test_scheduler.py,38
vllm/model_executor/layers/quantization/utils/quant_utils.py,38
vllm/distributed/device_communicators/custom_all_reduce.py,38
vllm/model_executor/models/aya_vision.py,38
vllm/v1/sample/rejection_sampler.py,38
vllm/v1/sample/ops/topk_topp_sampler.py,37
csrc/moe/torch_bindings.cpp,37
examples/offline_inference_vision_language.py,37
vllm/plugins/__init__.py,37
tests/worker/test_model_runner.py,37
docs/usage/v1_guide.md,37
vllm/model_executor/models/bamba.py,37
vllm/worker/tpu_worker.py,37
vllm/distributed/kv_transfer/kv_connector/utils.py,37
vllm/model_executor/layers/fused_moe/rocm_aiter_fused_moe.py,37
tests/multimodal/test_utils.py,37
vllm/model_executor/models/minicpmo.py,37
vllm/executor/cpu_executor.py,37
vllm/model_executor/layers/vocab_parallel_embedding.py,37
vllm/model_executor/layers/quantization/quark/quark_moe.py,37
tests/entrypoints/openai/test_metrics.py,36
vllm/engine/output_processor/multi_step.py,36
vllm/attention/backends/pallas.py,36
vllm/config/speculative.py,36
vllm/model_executor/models/voxtral.py,36
vllm/model_executor/models/roberta.py,36
vllm/v1/core/sched/output.py,36
vllm/v1/kv_cache_interface.py,36
vllm/v1/core/single_type_kv_cache_manager.py,35
examples/offline_inference/audio_language.py,35
tests/compile/piecewise/test_toy_llama.py,35
tests/models/language/generation/test_hybrid.py,35
vllm/worker/neuron_model_runner.py,35
docs/source/models/vlm.rst,35
tests/v1/engine/test_async_llm.py,35
vllm/v1/attention/backends/cpu_attn.py,35
vllm/v1/serial_utils.py,35
docs/features/multimodal_inputs.md,35
vllm/worker/multi_step_model_runner.py,35
tests/compile/test_full_graph.py,34
tests/v1/worker/test_gpu_input_batch.py,34
vllm/model_executor/models/persimmon.py,34
vllm/model_executor/models/gritlm.py,34
vllm/model_executor/guided_decoding/__init__.py,34
vllm/model_executor/models/skyworkr1v.py,34
csrc/attention/attention_kernels.cu,34
vllm/model_executor/layers/quantization/gptq.py,34
tests/v1/attention/utils.py,34
vllm/model_executor/models/llama_eagle3.py,34
tests/kernels/attention/test_attention_selector.py,34
vllm/model_executor/models/nano_nemotron_vl.py,34
tests/compile/test_fusion_attn.py,34
vllm/model_executor/models/minimax_text_01.py,34
vllm/distributed/utils.py,34
vllm/entrypoints/openai/serving_pooling.py,34
vllm/model_executor/models/nemotron_h.py,34
vllm/multimodal/parse.py,33
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a8_fp8.py,33
vllm/model_executor/layers/logits_processor.py,33
vllm/model_executor/models/qwen2_rm.py,33
vllm/model_executor/layers/utils.py,33
vllm/spec_decode/multi_step_worker.py,33
vllm/entrypoints/utils.py,33
vllm/model_executor/models/florence2.py,33
vllm/entrypoints/openai/tool_parsers/__init__.py,33
vllm/model_executor/models/glm4_moe.py,33
vllm/distributed/kv_transfer/kv_connector/factory.py,33
vllm/model_executor/models/kimi_vl.py,33
vllm/compilation/pass_manager.py,33
vllm/v1/core/block_pool.py,33
vllm/v1/structured_output/backend_xgrammar.py,33
vllm/model_executor/models/plamo2.py,32
vllm/worker/cache_engine.py,32
tests/lora/test_lora_manager.py,32
vllm/model_executor/layers/quantization/moe_wna16.py,32
vllm/attention/ops/prefix_prefill.py,32
vllm/model_executor/models/zamba2.py,32
tests/entrypoints/openai/test_completion.py,32
tests/v1/tpu/worker/test_tpu_model_runner.py,32
vllm/entrypoints/context.py,32
vllm/model_executor/layers/quantization/awq.py,31
requirements/cpu.txt,31
vllm/model_executor/models/deepseek_mtp.py,31
requirements/nightly_torch_test.txt,31
benchmarks/kernels/benchmark_paged_attention.py,31
vllm/compilation/wrapper.py,31
vllm/distributed/kv_transfer/kv_connector/v1/multi_connector.py,31
tests/compile/test_config.py,31
benchmarks/README.md,31
tests/lora/test_llama_tp.py,31
benchmarks/benchmark_serving_structured_output.py,31
vllm/model_executor/layers/fused_moe/fused_batched_moe.py,31
vllm/v1/engine/detokenizer.py,31
vllm/distributed/device_communicators/pynccl.py,31
vllm/v1/executor/abstract.py,31
vllm/model_executor/models/granite_speech.py,31
tests/kernels/test_moe.py,31
vllm/model_executor/layers/batch_invariant.py,31
vllm/entrypoints/openai/tool_parsers/mistral_tool_parser.py,31
tests/model_executor/test_enabled_custom_ops.py,31
docs/source/index.md,31
vllm/model_executor/guided_decoding/xgrammar_decoding.py,30
requirements-dev.txt,30
docs/getting_started/installation/cpu.md,30
tests/spec_decode/e2e/conftest.py,30
vllm/model_executor/models/granitemoehybrid.py,30
benchmarks/benchmark_dataset.py,30
tests/v1/attention/test_attention_backends.py,30
vllm/model_executor/models/tarsier.py,30
cmake/utils.cmake,30
tests/models/multimodal/processing/test_tensor_schema.py,30
vllm/compilation/collective_fusion.py,30
vllm/model_executor/models/dots_ocr.py,30
tests/tokenization/test_detokenize.py,30
vllm/v1/attention/backends/mla/cutlass_mla.py,30
vllm/usage/usage_lib.py,30
vllm/v1/engine/utils.py,30
vllm/v1/attention/backends/mla/flashattn_mla.py,30
vllm/model_executor/models/llama4.py,30
.github/workflows/mypy.yaml,30
.buildkite/run-amd-test.sh,30
vllm/attention/ops/paged_attn.py,30
csrc/cpu/torch_bindings.cpp,30
vllm/v1/worker/block_table.py,30
vllm/model_executor/model_loader/bitsandbytes_loader.py,30
tests/compile/test_basic_correctness.py,30
tests/metrics/test_metrics.py,30
vllm/model_executor/layers/quantization/ipex_quant.py,29
vllm/model_executor/weight_utils.py,29
tests/entrypoints/openai/test_response_api_with_harmony.py,29
vllm/v1/worker/cpu_model_runner.py,29
tests/compile/test_fusion.py,29
tests/compile/piecewise/test_simple.py,29
tests/kernels/test_pos_encoding.py,29
vllm/config/cache.py,29
tests/spec_decode/test_spec_decode_worker.py,29
vllm/model_executor/layers/fused_moe/triton_deep_gemm_moe.py,29
vllm/model_executor/layers/fused_moe/utils.py,29
vllm/worker/model_runner_base.py,29
vllm/model_executor/models/mamba2.py,29
tests/basic_correctness/test_chunked_prefill.py,29
vllm/model_executor/models/ovis.py,29
vllm/lora/punica_wrapper/punica_gpu.py,29
vllm/distributed/device_communicators/cuda_communicator.py,29
csrc/quantization/gptq_marlin/gptq_marlin.cu,29
docker/Dockerfile.cpu,29
vllm/multimodal/__init__.py,29
requirements/tpu.txt,29
vllm/entrypoints/openai/speech_to_text.py,29
vllm/pooling_params.py,29
tests/entrypoints/openai/test_audio.py,28
vllm/model_executor/models/gemma3n_mm.py,28
vllm/model_executor/models/interfaces_base.py,28
vllm/worker/hpu_model_runner.py,28
vllm/model_executor/models/bert_with_rope.py,28
tests/distributed/test_pynccl.py,28
vllm/executor/multiproc_gpu_executor.py,28
vllm/model_executor/models/h2ovl.py,28
tests/kernels/moe/test_deepep_deepgemm_moe.py,28
vllm/benchmarks/throughput.py,28
tests/spec_decode/utils.py,28
tests/async_engine/test_async_llm_engine.py,28
vllm/core/block_manager.py,28
vllm/model_executor/layers/quantization/experts_int8.py,28
tests/models/test_transformers.py,28
vllm/model_executor/layers/rejection_sampler.py,27
vllm/spec_decode/batch_expansion.py,27
tests/basic_correctness/test_cumem.py,27
vllm/inputs/__init__.py,27
tests/models/multimodal/generation/vlm_utils/model_utils.py,27
vllm/model_executor/models/step3_vl.py,27
vllm/model_executor/models/bart.py,27
vllm/model_executor/models/falcon_h1.py,27
vllm/v1/engine/input_processor.py,27
Dockerfile.cpu,27
tests/tensorizer_loader/test_tensorizer.py,27
tests/v1/sample/test_logprobs.py,27
vllm/model_executor/model_loader/default_loader.py,27
csrc/pybind.cpp,27
requirements/docs.txt,27
vllm/model_executor/models/olmo2.py,27
vllm/model_executor/models/intern_vit.py,27
vllm/model_executor/models/gemma3.py,27
.github/workflows/publish.yml,27
vllm/entrypoints/openai/serving_models.py,26
tests/distributed/test_comm_ops.py,26
tests/lora/test_worker.py,26
vllm/config/scheduler.py,26
tests/core/utils.py,26
csrc/cache.h,26
csrc/quantization/cutlass_w8a8/scaled_mm_entry.cu,26
vllm/model_executor/layers/fused_moe/deepep_ll_prepare_finalize.py,26
vllm/v1/attention/backends/rocm_attn.py,26
tests/entrypoints/llm/test_guided_generate.py,26
requirements/cuda.txt,26
vllm/transformers_utils/processor.py,26
vllm/model_executor/layers/quantization/compressed_tensors/utils.py,26
tests/models/test_registry.py,26
vllm/platforms/hpu.py,26
benchmarks/benchmark_prefix_caching.py,26
csrc/layernorm_kernels.cu,26
vllm/model_executor/models/interns1.py,26
vllm/attention/backends/blocksparse_attn.py,26
requirements-rocm.txt,26
requirements-cuda.txt,26
docs/models/pooling_models.md,25
vllm/multimodal/audio.py,25
vllm/platforms/neuron.py,25
vllm/model_executor/models/phi3_small.py,25
vllm/compilation/fusion.py,25
vllm/model_executor/layers/quantization/utils/flashinfer_fp4_moe.py,25
cmake/external_projects/vllm_flash_attn.cmake,25
vllm/executor/neuron_executor.py,25
vllm/entrypoints/harmony_utils.py,25
requirements/rocm-test.txt,25
vllm/engine/multiprocessing/__init__.py,25
tests/entrypoints/openai/test_embedding.py,25
tests/v1/engine/test_output_processor.py,25
vllm/model_executor/layers/fused_moe/pplx_prepare_finalize.py,25
vllm/core/block/prefix_caching_block.py,25
vllm/entrypoints/openai/tool_parsers/hermes_tool_parser.py,25
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_wNa16.py,25
vllm/model_executor/layers/quantization/utils/marlin_utils_fp8.py,25
vllm/attention/backends/ipex_attn.py,25
vllm/engine/output_processor/single_step.py,25
vllm/model_executor/layers/mamba/mamba_mixer.py,25
vllm/v1/attention/backends/gdn_attn.py,25
vllm/multimodal/cache.py,25
.buildkite/scripts/hardware_ci/run-tpu-v1-test.sh,25
tests/v1/attention/test_mla_backends.py,25
vllm/v1/attention/backends/mla/flashmla_sparse.py,25
vllm/worker/embedding_model_runner.py,25
tests/kernels/quantization/test_block_fp8.py,25
tests/kernels/test_prefix_prefill.py,25
vllm/inputs/parse.py,25
vllm/v1/core/encoder_cache_manager.py,24
vllm/core/block_manager_v2.py,24
csrc/rocm/attention.cu,24
vllm/_ipex_ops.py,24
tests/v1/core/utils.py,24
vllm/model_executor/layers/quantization/fbgemm_fp8.py,24
vllm/model_executor/models/siglip2navit.py,24
vllm/model_executor/utils.py,24
vllm/distributed/device_communicators/all2all.py,24
vllm/core/block_manager_v1.py,24
vllm/model_executor/models/blip.py,24
docs/requirements-docs.txt,24
tests/models/language/generation/test_common.py,24
tests/utils_/test_utils.py,24
vllm/model_executor/models/minimax_vl_01.py,24
vllm/model_executor/models/xverse.py,24
vllm/model_executor/models/hyperclovax_vision.py,24
vllm/v1/attention/backends/mamba2_attn.py,24
vllm/model_executor/models/qwen3.py,24
vllm/lora/layers/fused_moe.py,24
vllm/engine/ray_utils.py,23
vllm/reasoning/abs_reasoning_parsers.py,23
tests/spec_decode/test_multi_step_worker.py,23
docker/Dockerfile.rocm,23
vllm/v1/worker/lora_model_runner_mixin.py,23
vllm/model_executor/models/bailing_moe.py,23
vllm/v1/core/kv_cache_coordinator.py,23
docs/configuration/optimization.md,23
vllm/model_executor/guided_decoding/outlines_logits_processors.py,23
vllm/compilation/inductor_pass.py,23
vllm/_aiter_ops.py,23
docs/.nav.yml,23
vllm/worker/openvino_model_runner.py,23
tests/samplers/test_logprobs.py,23
vllm/model_executor/models/mlp_speculator.py,23
tests/v1/test_oracle.py,23
docs/features/reasoning_outputs.md,23
tests/models/language/pooling/mteb_utils.py,23
vllm/distributed/device_communicators/base_device_communicator.py,23
vllm/model_executor/layers/quantization/utils/mxfp4_utils.py,23
vllm/model_executor/layers/quantization/utils/flashinfer_utils.py,23
vllm/spec_decode/util.py,23
vllm/model_executor/models/qwen3_vl_moe.py,23
vllm/model_executor/layers/fused_moe/deepep_ht_prepare_finalize.py,23
tests/kernels/test_cutlass.py,23
vllm/distributed/kv_transfer/kv_connector/v1/shared_storage_connector.py,23
.buildkite/scripts/hardware_ci/run-cpu-test.sh,23
vllm/model_executor/models/mistral.py,23
tests/kernels/moe/test_pplx_moe.py,23
vllm/model_executor/layers/rotary_embedding/mrope.py,23
docker/Dockerfile.rocm_base,23
vllm/model_executor/layers/mamba/ops/causal_conv1d.py,23
vllm/multimodal/hasher.py,23
tests/models/language/pooling/test_embedding.py,23
vllm/v1/structured_output/utils.py,23
tests/models/test_llava.py,23
vllm/model_executor/models/prithvi_geospatial_mae.py,23
tests/kernels/test_activation.py,23
mkdocs.yaml,23
docs/source/models/adding_model.rst,23
tests/quantization/test_bitsandbytes.py,23
tests/distributed/test_custom_all_reduce.py,22
docs/contributing/benchmarks.md,22
vllm/attention/ops/triton_unified_attention.py,22
cacheflow/worker/worker.py,22
vllm/model_executor/models/llama_eagle.py,22
vllm/executor/uniproc_executor.py,22
vllm/model_executor/models/eagle.py,22
vllm/v1/worker/gpu/cudagraph_utils.py,22
tests/models/test_phi3v.py,22
tests/kernels/quant_utils.py,22
vllm/v1/attention/backends/mamba_attn.py,22
benchmarks/cutlass_benchmarks/w8a8_benchmarks.py,22
vllm/entrypoints/renderer.py,22
vllm/v1/structured_output/backend_guidance.py,22
vllm/v1/worker/worker_base.py,22
tests/entrypoints/llm/test_generate.py,22
tests/kernels/moe/test_cutlass_moe.py,22
tests/models/decoder_only/vision_language/vlm_utils/model_utils.py,22
tests/kernels/test_attention_selector.py,22
vllm/model_executor/models/grok1.py,22
vllm/model_executor/layers/quantization/base_config.py,22
vllm/model_executor/models/hunyuan_v1.py,22
vllm/attention/backends/hpu_attn.py,22
examples/offline_inference/data_parallel.py,22
vllm/worker/neuron_worker.py,22
tests/models/test_oot_registration.py,22
vllm/transformers_utils/detokenizer.py,22
tests/models/encoder_decoder/vision_language/test_mllama.py,22
vllm/model_executor/models/idefics2_vision_model.py,22
vllm/model_executor/models/ernie45_moe.py,22
vllm/model_executor/models/paddleocr_vl.py,22
tests/tool_use/utils.py,22
tests/model_executor/test_model_load_with_params.py,22
vllm/model_executor/layers/fused_moe/batched_triton_or_deep_gemm_moe.py,21
tests/entrypoints/openai/test_transcription_validation.py,21
docs/source/getting_started/debugging.rst,21
vllm/v1/attention/backends/tree_attn.py,21
vllm/model_executor/models/medusa.py,21
csrc/activation_kernels.cu,21
vllm/model_executor/layers/fused_moe/flashinfer_cutlass_moe.py,21
vllm/v1/spec_decode/ngram_proposer.py,21
vllm/v1/attention/backends/mla/triton_mla.py,21
vllm/model_executor/layers/quantization/quark/quark.py,21
tests/prefix_caching/test_prefix_caching.py,21
.buildkite/test-template.j2,21
vllm/model_executor/models/nemotron_nas.py,21
vllm/model_executor/models/ovis2_5.py,21
