entity,soc
vllm/model_executor/models/arctic.py,7358
vllm/model_executor/models/interfaces.py,7357
vllm/model_executor/models/llava_next_video.py,7338
vllm/model_executor/models/gemma2.py,7336
vllm/v1/engine/async_llm.py,7319
vllm/model_executor/models/jais.py,7310
vllm/model_executor/models/whisper.py,7308
vllm/model_executor/models/llava_onevision.py,7290
vllm/model_executor/models/deepseek_vl2.py,7254
vllm/model_executor/layers/fused_moe/layer.py,7240
vllm/model_executor/models/idefics3.py,7220
vllm/v1/attention/backends/flash_attn.py,7217
vllm/model_executor/models/phimoe.py,7196
vllm/model_executor/models/nemotron.py,7164
vllm/platforms/cuda.py,7145
vllm/entrypoints/openai/serving_completion.py,7142
vllm/multimodal/registry.py,7137
vllm/v1/worker/gpu_worker.py,7134
vllm/model_executor/models/deepseek.py,7126
vllm/attention/layer.py,7092
vllm/model_executor/models/solar.py,7082
vllm/model_executor/models/granite.py,7074
vllm/model_executor/models/exaone.py,7070
vllm/entrypoints/chat_utils.py,7056
vllm/model_executor/layers/quantization/fp8.py,7053
vllm/model_executor/models/granitemoe.py,7042
vllm/v1/engine/llm_engine.py,6994
vllm/model_executor/models/aria.py,6982
vllm/model_executor/models/persimmon.py,6941
vllm/model_executor/layers/fused_moe/fused_moe.py,6889
tests/utils.py,6884
vllm/platforms/interface.py,6866
vllm/multimodal/processing.py,6853
vllm/model_executor/models/olmoe.py,6808
vllm/transformers_utils/config.py,6787
vllm/v1/engine/core.py,6745
vllm/model_executor/models/utils.py,6736
vllm/v1/worker/tpu_model_runner.py,6634
vllm/platforms/rocm.py,6632
vllm/v1/engine/processor.py,6619
vllm/model_executor/models/mamba.py,6594
vllm/multimodal/inputs.py,6569
vllm/utils.py,6567
tests/models/multimodal/processing/test_common.py,6482
vllm/platforms/cpu.py,6472
vllm/model_executor/models/clip.py,6465
setup.py,6446
tests/models/utils.py,6423
vllm/model_executor/models/bert.py,6414
tests/kernels/utils.py,6403
vllm/model_executor/layers/quantization/gptq_marlin.py,6400
vllm/inputs/preprocess.py,6354
vllm/executor/executor_base.py,6348
tests/lora/test_layers.py,6320
vllm/worker/model_runner.py,6307
vllm/entrypoints/openai/run_batch.py,6306
vllm/attention/selector.py,6303
vllm/attention/backends/abstract.py,6298
vllm/model_executor/models/siglip.py,6295
vllm/model_executor/models/qwen2_5_vl.py,6295
tests/distributed/test_pipeline_parallel.py,6285
vllm/model_executor/models/olmo2.py,6254
vllm/distributed/parallel_state.py,6253
vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors_moe.py,6248
vllm/engine/protocol.py,6242
vllm/model_executor/models/qwen2_rm.py,6236
tests/multimodal/test_processing.py,6208
vllm/lora/models.py,6197
vllm/v1/worker/gpu_input_batch.py,6193
vllm/model_executor/layers/quantization/modelopt.py,6190
vllm/entrypoints/openai/serving_embedding.py,6183
tests/entrypoints/openai/test_serving_chat.py,6170
vllm/v1/core/kv_cache_utils.py,6100
vllm/transformers_utils/tokenizer.py,6092
vllm/multimodal/utils.py,6085
vllm/platforms/tpu.py,6078
vllm/outputs.py,6072
vllm/model_executor/layers/linear.py,6066
vllm/platforms/xpu.py,6061
vllm/v1/request.py,6030
tests/tokenization/test_detokenize.py,6028
tests/entrypoints/test_chat_utils.py,6003
vllm/v1/core/kv_cache_manager.py,5996
vllm/entrypoints/openai/cli_args.py,5994
vllm/sampling_params.py,5991
vllm/v1/engine/core_client.py,5990
tests/v1/core/test_kv_cache_utils.py,5987
vllm/model_executor/models/mllama4.py,5979
vllm/entrypoints/openai/serving_score.py,5955
vllm/model_executor/model_loader/tensorizer.py,5954
vllm/model_executor/layers/quantization/awq_marlin.py,5951
vllm/model_executor/models/interfaces_base.py,5908
vllm/model_executor/model_loader/weight_utils.py,5906
tests/v1/engine/test_engine_core_client.py,5902
vllm/model_executor/model_loader/utils.py,5888
vllm/model_executor/models/mistral3.py,5881
vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors.py,5875
vllm/forward_context.py,5874
vllm/v1/engine/output_processor.py,5873
vllm/v1/executor/multiproc_executor.py,5870
vllm/v1/kv_cache_interface.py,5849
tests/entrypoints/openai/test_chat.py,5843
vllm/model_executor/models/internlm2_ve.py,5842
vllm/model_executor/models/minicpm3.py,5832
vllm/entrypoints/openai/serving_tokenization.py,5817
vllm/entrypoints/openai/serving_pooling.py,5813
vllm/entrypoints/api_server.py,5813
tests/v1/core/test_prefix_caching.py,5813
vllm/v1/engine/__init__.py,5807
vllm/model_executor/layers/quantization/utils/fp8_utils.py,5798
vllm/multimodal/profiling.py,5796
vllm/logger.py,5784
tests/v1/engine/test_async_llm.py,5776
vllm/model_executor/models/minicpmo.py,5775
vllm/v1/attention/backends/mla/common.py,5774
vllm/entrypoints/openai/serving_models.py,5761
tests/compile/piecewise/test_toy_llama.py,5760
vllm/inputs/data.py,5757
vllm/engine/metrics.py,5747
vllm/lora/worker_manager.py,5736
tests/compile/test_basic_correctness.py,5732
vllm/model_executor/layers/quantization/gptq.py,5729
vllm/model_executor/models/gemma3_mm.py,5728
vllm/model_executor/layers/quantization/gguf.py,5727
vllm/model_executor/models/roberta.py,5716
vllm/entrypoints/utils.py,5716
vllm/model_executor/layers/fused_moe/__init__.py,5709
tests/engine/test_arg_utils.py,5702
vllm/model_executor/models/gritlm.py,5687
vllm/v1/outputs.py,5683
vllm/model_executor/layers/quantization/bitsandbytes.py,5682
tests/v1/worker/test_gpu_input_batch.py,5676
vllm/model_executor/models/h2ovl.py,5667
vllm/model_executor/models/adapters.py,5662
vllm/model_executor/models/qwen_vl.py,5659
vllm/model_executor/layers/quantization/utils/w8a8_utils.py,5651
tests/lora/test_llama_tp.py,5651
vllm/model_executor/layers/vocab_parallel_embedding.py,5650
vllm/model_executor/models/vision.py,5649
vllm/model_executor/layers/pooler.py,5645
vllm/model_executor/layers/layernorm.py,5641
vllm/model_executor/layers/quantization/quark/quark_moe.py,5623
vllm/attention/backends/utils.py,5622
vllm/compilation/backends.py,5618
vllm/v1/utils.py,5615
vllm/v1/spec_decode/eagle.py,5610
vllm/model_executor/models/blip.py,5608
tests/v1/engine/test_output_processor.py,5604
tests/models/multimodal/processing/test_internvl.py,5601
vllm/v1/worker/block_table.py,5597
vllm/model_executor/models/skyworkr1v.py,5586
vllm/model_executor/models/phi4mm.py,5574
vllm/v1/metrics/loggers.py,5572
vllm/model_executor/models/minimax_text_01.py,5570
vllm/entrypoints/openai/tool_parsers/abstract_tool_parser.py,5562
pyproject.toml,5559
vllm/model_executor/layers/activation.py,5552
vllm/model_executor/layers/quantization/experts_int8.py,5551
vllm/model_executor/layers/quantization/awq.py,5547
csrc/quantization/machete/generate.py,5547
vllm/multimodal/image.py,5544
vllm/model_executor/models/aya_vision.py,5542
vllm/entrypoints/openai/tool_parsers/mistral_tool_parser.py,5542
tests/quantization/test_compressed_tensors.py,5540
vllm/model_executor/layers/quantization/utils/marlin_utils.py,5539
vllm/executor/ray_distributed_executor.py,5537
vllm/v1/engine/detokenizer.py,5536
vllm/attention/ops/paged_attn.py,5535
tests/tool_use/test_jamba_tool_parser.py,5535
vllm/model_executor/models/idefics2_vision_model.py,5526
tests/plugins/vllm_add_dummy_model/vllm_add_dummy_model/my_gemma_embedding.py,5526
tests/kernels/quant_utils.py,5523
tests/entrypoints/openai/tool_parsers/utils.py,5521
vllm/entrypoints/openai/tool_parsers/hermes_tool_parser.py,5516
tools/profiler/visualize_layerwise_profile.py,5512
vllm/v1/executor/abstract.py,5509
vllm/entrypoints/openai/tool_parsers/granite_20b_fc_tool_parser.py,5499
vllm/model_executor/models/glm4v.py,5493
tests/samplers/test_no_bad_words.py,5491
vllm/model_executor/layers/logits_processor.py,5490
vllm/v1/metrics/stats.py,5486
vllm/model_executor/layers/quantization/moe_wna16.py,5486
vllm/entrypoints/openai/tool_parsers/internlm2_tool_parser.py,5483
.buildkite/test-pipeline.yaml,5473
vllm/model_executor/layers/quantization/utils/quant_utils.py,5472
tests/lora/utils.py,5472
vllm/v1/core/sched/scheduler.py,5466
vllm/entrypoints/openai/tool_parsers/jamba_tool_parser.py,5465
vllm/model_executor/models/qwen2_5_omni_thinker.py,5463
vllm/lora/utils.py,5441
tests/model_executor/test_enabled_custom_ops.py,5440
vllm/model_executor/layers/fused_moe/fused_marlin_moe.py,5437
tests/quantization/test_register_quantization_config.py,5437
vllm/model_executor/models/intern_vit.py,5436
vllm/model_executor/models/bamba.py,5436
vllm/model_executor/custom_op.py,5427
vllm/model_executor/models/plamo2.py,5424
tests/v1/core/test_scheduler.py,5424
tests/distributed/test_comm_ops.py,5424
vllm/multimodal/parse.py,5421
vllm/v1/attention/backends/flashinfer.py,5418
vllm/transformers_utils/processor.py,5413
tests/tool_use/utils.py,5410
vllm/platforms/__init__.py,5408
tests/compile/test_full_graph.py,5393
vllm/model_executor/models/qwen3_moe.py,5392
vllm/entrypoints/openai/tool_parsers/granite_tool_parser.py,5387
vllm/model_executor/utils.py,5377
vllm/model_executor/models/nvlm_d.py,5375
vllm/compilation/decorators.py,5375
vllm/model_executor/layers/quantization/base_config.py,5373
vllm/v1/sample/metadata.py,5372
vllm/model_executor/layers/mamba/mamba_mixer.py,5371
tests/lora/test_qwen2vl.py,5362
vllm/tracing.py,5360
vllm/executor/ray_utils.py,5358
vllm/model_executor/layers/quantization/ipex_quant.py,5351
vllm/entrypoints/openai/tool_parsers/llama_tool_parser.py,5351
vllm/model_executor/models/granite_speech.py,5346
vllm/pooling_params.py,5344
vllm/connections.py,5341
vllm/_ipex_ops.py,5336
vllm/logits_process.py,5333
vllm/entrypoints/openai/tool_parsers/pythonic_tool_parser.py,5328
vllm/distributed/device_communicators/custom_all_reduce.py,5328
vllm/multimodal/video.py,5325
vllm/distributed/utils.py,5323
vllm/engine/async_llm_engine.py,5318
vllm/v1/sample/ops/topk_topp_sampler.py,5317
csrc/cutlass_extensions/vllm_cutlass_library_extension.py,5314
vllm/model_executor/models/kimi_vl.py,5308
vllm/entrypoints/logger.py,5297
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_wNa16.py,5292
vllm/usage/usage_lib.py,5281
vllm/model_executor/layers/quantization/fbgemm_fp8.py,5277
vllm/model_executor/models/ovis.py,5276
vllm/model_executor/models/nemotron_nas.py,5273
vllm/worker/worker.py,5270
vllm/entrypoints/openai/logits_processors.py,5264
vllm/model_executor/layers/utils.py,5261
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a8_fp8.py,5260
vllm/transformers_utils/tokenizers/mistral.py,5257
tests/lora/conftest.py,5256
vllm/distributed/kv_transfer/kv_connector/factory.py,5252
vllm/inputs/parse.py,5247
tests/tool_use/test_parallel_tool_calls.py,5245
vllm/v1/serial_utils.py,5242
vllm/model_executor/models/gemma3.py,5241
vllm/beam_search.py,5235
tests/tool_use/test_tool_calls.py,5231
vllm/model_executor/model_loader/__init__.py,5230
vllm/multimodal/base.py,5226
vllm/multimodal/audio.py,5225
tests/lora/test_lora_manager.py,5221
vllm/model_executor/models/qwen3.py,5220
vllm/compilation/wrapper.py,5219
vllm/distributed/device_communicators/pynccl.py,5215
tests/v1/engine/test_engine_core.py,5210
tests/vllm_test_utils/vllm_test_utils/blame.py,5206
vllm/model_executor/models/__init__.py,5201
vllm/model_executor/layers/quantization/compressed_tensors/utils.py,5201
vllm/v1/worker/utils.py,5196
vllm/plugins/__init__.py,5195
tests/vllm_test_utils/vllm_test_utils/monitor.py,5194
vllm/model_executor/layers/quantization/utils/marlin_utils_fp8.py,5193
vllm/model_executor/models/zamba2.py,5191
tests/quantization/test_quark.py,5187
vllm/model_executor/layers/quantization/gptq_marlin_24.py,5182
vllm/compilation/inductor_pass.py,5181
vllm/model_executor/models/glm4.py,5176
vllm/model_executor/layers/quantization/quark/quark.py,5172
vllm/v1/sample/sampler.py,5168
vllm/model_executor/layers/quantization/tpu_int8.py,5156
vllm/model_executor/models/modernbert.py,5155
vllm/model_executor/layers/quantization/hqq_marlin.py,5152
vllm/model_executor/layers/quantization/deepspeedfp.py,5151
vllm/executor/uniproc_executor.py,5145
tests/test_config.py,5143
vllm/lora/request.py,5138
vllm/lora/punica_wrapper/punica_gpu.py,5130
tests/lora/test_utils.py,5130
vllm/model_executor/layers/quantization/kernels/scaled_mm/__init__.py,5129
vllm/model_executor/models/mamba2.py,5124
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a8_int8.py,5112
vllm/model_executor/layers/resampler.py,5111
vllm/distributed/device_communicators/shm_broadcast.py,5111
tests/plugins/vllm_add_dummy_model/vllm_add_dummy_model/my_llava.py,5111
vllm/distributed/communication_op.py,5110
vllm/scalar_type.py,5109
vllm/compilation/vllm_inductor_pass.py,5107
vllm/model_executor/layers/quantization/utils/marlin_utils_test.py,5106
vllm/model_executor/layers/quantization/quark/utils.py,5105
vllm/model_executor/layers/quantization/kernels/scaled_mm/cutlass.py,5102
vllm/assets/video.py,5100
vllm/model_executor/layers/quantization/quark/schemes/quark_w8a8_fp8.py,5097
vllm/distributed/device_communicators/pynccl_wrapper.py,5097
vllm/model_executor/layers/quantization/kernels/scaled_mm/ScaledMMLinearKernel.py,5095
vllm/model_executor/layers/quantization/kernels/mixed_precision/marlin.py,5090
vllm/transformers_utils/detokenizer_utils.py,5083
vllm/model_executor/layers/mamba/ops/causal_conv1d.py,5079
vllm/lora/punica_wrapper/punica_base.py,5079
vllm/model_executor/models/grok1.py,5073
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_24.py,5071
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w4a16_24.py,5069
vllm/v1/worker/tpu_worker.py,5064
vllm/model_executor/parameter.py,5061
vllm/model_executor/layers/quantization/kernels/mixed_precision/__init__.py,5058
vllm/lora/peft_helper.py,5058
vllm/model_executor/layers/quantization/kernels/scaled_mm/xla.py,5054
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a16_fp8.py,5048
vllm/model_executor/layers/quantization/kernels/mixed_precision/MPLinearKernel.py,5044
tests/plugins/vllm_add_dummy_model/vllm_add_dummy_model/my_opt.py,5043
vllm/model_executor/layers/quantization/compressed_tensors/triton_scaled_mm.py,5041
vllm/entrypoints/launcher.py,5041
vllm/model_executor/layers/quantization/quark/schemes/quark_w8a8_int8.py,5040
vllm/transformers_utils/configs/eagle.py,5038
vllm/model_executor/models/granitemoehybrid.py,5036
tests/compile/backend.py,5032
vllm/transformers_utils/s3_utils.py,5031
vllm/model_executor/models/module_mapping.py,5028
vllm/model_executor/layers/quantization/kernels/scaled_mm/triton.py,5028
vllm/v1/attention/backends/mla/flashmla.py,5025
vllm/model_executor/layers/quantization/schema.py,5018
vllm/compilation/fix_functionalization.py,5017
vllm/distributed/kv_transfer/kv_pipe/pynccl_pipe.py,5015
vllm/model_executor/models/transformers.py,5014
vllm/compilation/fx_utils.py,5014
vllm/distributed/device_communicators/tpu_communicator.py,5010
vllm/model_executor/layers/quantization/utils/machete_utils.py,5006
vllm/lora/punica_wrapper/utils.py,5004
vllm/distributed/kv_transfer/kv_pipe/mooncake_pipe.py,5001
vllm/multimodal/hasher.py,4996
tests/distributed/test_pp_cudagraph.py,4996
vllm/model_executor/layers/quantization/kernels/mixed_precision/exllama.py,4993
vllm/model_executor/layers/quantization/kernels/mixed_precision/machete.py,4991
vllm/transformers_utils/configs/ultravox.py,4984
tests/models/test_initialization.py,4980
vllm/transformers_utils/utils.py,4978
tests/compile/test_wrapper.py,4978
vllm/device_allocator/cumem.py,4976
vllm/v1/attention/backends/utils.py,4971
vllm/multimodal/__init__.py,4970
vllm/distributed/kv_transfer/kv_lookup_buffer/base.py,4962
vllm/distributed/kv_transfer/kv_lookup_buffer/simple_buffer.py,4961
vllm/lora/punica_wrapper/punica_cpu.py,4953
vllm/assets/base.py,4948
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_scheme.py,4946
vllm/distributed/device_communicators/xpu_communicator.py,4946
vllm/model_executor/models/falcon_h1.py,4943
vllm/model_executor/models/deepseek_mtp.py,4943
vllm/model_executor/layers/quantization/__init__.py,4939
vllm/model_executor/models/bert_with_rope.py,4937
vllm/distributed/kv_transfer/kv_pipe/base.py,4936
vllm/distributed/device_communicators/cuda_wrapper.py,4929
vllm/transformers_utils/configs/mlp_speculator.py,4928
vllm/profiler/layerwise_profile.py,4925
vllm/model_executor/models/minimax_vl_01.py,4923
vllm/model_executor/layers/quantization/quark/schemes/quark_scheme.py,4923
vllm/model_executor/layers/quantization/utils/layer_utils.py,4918
tests/entrypoints/openai/test_async_tokenization.py,4914
vllm/model_executor/models/granitemoeshared.py,4906
vllm/profiler/utils.py,4901
vllm/transformers_utils/configs/medusa.py,4900
tests/entrypoints/openai/test_vision.py,4868
vllm/transformers_utils/configs/__init__.py,4843
vllm/v1/attention/backends/triton_attn.py,4841
vllm/model_executor/layers/fused_moe/modular_kernel.py,4832
tests/v1/spec_decode/test_eagle.py,4830
vllm/model_executor/layers/mamba/mamba_mixer2.py,4823
tests/test_inputs.py,4814
tests/lora/test_worker.py,4799
vllm/v1/attention/backends/mla/rocm_aiter_mla.py,4786
vllm/model_executor/models/llama4.py,4778
vllm/distributed/kv_transfer/kv_connector/v1/nixl_connector.py,4759
vllm/model_executor/models/medusa.py,4744
vllm/inputs/__init__.py,4731
vllm/v1/attention/backends/pallas.py,4727
vllm/v1/attention/backends/mla/triton_mla.py,4695
vllm/model_executor/models/mlp_speculator.py,4689
tests/kernels/moe/test_moe.py,4689
vllm/model_executor/models/mimo_mtp.py,4678
tests/entrypoints/openai/test_chat_template.py,4662
vllm/model_executor/models/llama_eagle3.py,4657
tests/v1/kv_connector/unit/utils.py,4654
benchmarks/kernels/benchmark_paged_attention.py,4643
vllm/model_executor/layers/fused_moe/deep_gemm_moe.py,4639
tests/basic_correctness/test_basic_correctness.py,4637
vllm/entrypoints/score_utils.py,4631
tests/multimodal/test_utils.py,4627
vllm/model_executor/layers/fused_moe/utils.py,4625
tests/compile/test_functionalization.py,4617
vllm/model_executor/models/mimo.py,4615
vllm/model_executor/layers/fused_moe/cutlass_moe.py,4602
tests/models/multimodal/processing/test_h2ovl.py,4590
tests/lora/test_quant_model.py,4589
tests/kernels/moe/test_pplx_moe.py,4578
vllm/v1/structured_output/__init__.py,4572
tests/entrypoints/openai/tool_parsers/test_pythonic_tool_parser.py,4571
vllm/v1/core/encoder_cache_manager.py,4567
tools/profiler/print_layerwise_table.py,4564
tests/entrypoints/openai/test_serving_models.py,4564
tests/compile/test_fusion.py,4551
tests/entrypoints/openai/test_audio.py,4538
tests/test_logger.py,4536
tests/quantization/test_configs.py,4533
vllm/v1/sample/rejection_sampler.py,4526
examples/offline_inference/vision_language.py,4525
tests/entrypoints/openai/test_video.py,4524
tests/v1/sample/test_sampler.py,4522
tests/quantization/test_fp8.py,4516
tests/distributed/test_pynccl.py,4515
vllm/entrypoints/cli/serve.py,4506
tests/entrypoints/llm/test_generate.py,4504
tests/model_executor/test_model_load_with_params.py,4498
tests/v1/worker/test_gpu_model_runner.py,4492
tests/v1/engine/test_llm_engine.py,4487
tests/lora/test_mixtral.py,4484
vllm/model_executor/models/minicpm_eagle.py,4483
tests/models/test_registry.py,4473
tests/lora/test_lora_checkpoints.py,4472
vllm/__init__.py,4469
vllm/model_executor/__init__.py,4467
vllm/model_executor/layers/fused_moe/fused_batched_moe.py,4448
examples/offline_inference/vision_language_multi_image.py,4444
vllm/model_executor/layers/fused_moe/rocm_aiter_fused_moe.py,4443
vllm/model_executor/layers/fused_moe/triton_deep_gemm_moe.py,4442
tests/entrypoints/openai/test_lora_resolvers.py,4442
vllm/distributed/kv_transfer/kv_connector/v1/base.py,4439
tests/models/multimodal/processing/test_qwen2_vl.py,4439
vllm/v1/engine/logprobs.py,4438
tests/lora/test_chatglm3_tp.py,4438
vllm/reasoning/abs_reasoning_parsers.py,4435
vllm/model_executor/layers/fused_moe/pplx_prepare_finalize.py,4434
tests/models/test_transformers.py,4432
vllm/core/scheduler.py,4431
vllm/v1/core/block_pool.py,4430
vllm/attention/__init__.py,4428
tests/compile/piecewise/test_simple.py,4428
vllm/v1/sample/ops/penalties.py,4418
tests/test_sequence.py,4418
tests/kernels/moe/test_cutlass_moe.py,4415
tests/v1/entrypoints/openai/test_completion.py,4414
vllm/entrypoints/openai/serving_transcription.py,4413
tests/entrypoints/llm/test_chat.py,4413
tests/v1/sample/utils.py,4409
tests/distributed/test_expert_parallel.py,4405
vllm/model_executor/models/mixtral_quant.py,4383
tests/lora/test_lora_huggingface.py,4383
vllm/benchmarks/datasets.py,4382
tests/models/multimodal/processing/test_llava_onevision.py,4380
tests/models/multimodal/processing/test_llava_next.py,4380
tests/entrypoints/openai/test_basic.py,4376
vllm/model_executor/models/llama_eagle.py,4372
vllm/model_executor/model_loader/bitsandbytes_loader.py,4370
benchmarks/benchmark_serving_structured_output.py,4368
tests/models/multimodal/processing/test_phi3v.py,4367
tests/v1/entrypoints/llm/test_struct_output_generate.py,4365
vllm/v1/worker/lora_model_runner_mixin.py,4362
vllm/distributed/kv_transfer/kv_connector/utils.py,4362
tests/tokenization/test_tokenizer_registry.py,4361
tests/entrypoints/openai/test_root_path.py,4355
vllm/entrypoints/cli/openai.py,4348
vllm/compilation/compiler_interface.py,4348
tests/models/multimodal/processing/test_idefics3.py,4340
tests/lora/test_minicpmv_tp.py,4337
tests/distributed/test_sequence_parallel.py,4334
tests/distributed/test_custom_all_reduce.py,4330
vllm/model_executor/models/moonvit.py,4327
vllm/model_executor/models/glm4_1v.py,4325
tests/distributed/test_shm_broadcast.py,4324
vllm/compilation/fusion.py,4321
tests/v1/sample/test_rejection_sampler.py,4315
tests/v1/kv_connector/unit/test_nixl_connector.py,4311
tests/plugins_tests/test_platform_plugins.py,4311
tests/models/multimodal/generation/vlm_utils/model_utils.py,4310
tests/v1/engine/utils.py,4308
vllm/entrypoints/openai/tool_parsers/utils.py,4307
benchmarks/kernels/benchmark_rope.py,4304
tests/kv_transfer/test_send_recv.py,4303
tests/models/test_oot_registration.py,4301
tests/tool_use/test_chat_completions.py,4297
tests/basic_correctness/test_cumem.py,4297
vllm/v1/core/sched/output.py,4294
vllm/entrypoints/openai/serving_classification.py,4294
tests/kernels/moe/test_batched_moe.py,4293
vllm/transformers_utils/configs/nemotron.py,4284
vllm/config/model.py,4284
tests/v1/engine/test_engine_args.py,4278
tests/models/language/pooling/test_gritlm.py,4276
vllm/v1/structured_output/backend_xgrammar.py,4274
tests/models/language/pooling/test_embedding.py,4273
tests/kernels/attention/test_attention.py,4273
vllm/attention/ops/prefix_prefill.py,4266
tests/models/multimodal/generation/vlm_utils/types.py,4263
vllm/distributed/kv_transfer/kv_connector/v1/multi_connector.py,4261
tests/compile/test_pass_manager.py,4261
vllm/model_executor/models/qwen3_vl.py,4259
vllm/compilation/collective_fusion.py,4258
tests/samplers/test_beam_search.py,4257
vllm/model_executor/layers/quantization/utils/mxfp4_utils.py,4255
tests/distributed/test_utils.py,4253
vllm/model_executor/layers/fused_moe/prepare_finalize.py,4241
tests/quantization/test_lm_head.py,4241
vllm/v1/engine/parallel_sampling.py,4237
vllm/engine/metrics_types.py,4231
tools/report_build_time_ninja.py,4229
tests/models/multimodal/generation/vlm_utils/core.py,4226
tests/kernels/core/test_pos_encoding.py,4222
vllm/distributed/kv_transfer/kv_connector/v1/lmcache_connector.py,4220
tests/entrypoints/openai/test_metrics.py,4216
vllm/model_executor/models/aimv2.py,4215
tests/models/language/generation/test_hybrid.py,4215
tests/samplers/test_ignore_eos.py,4214
tests/entrypoints/openai/test_cli_args.py,4209
tests/entrypoints/openai/test_tokenization.py,4205
tests/reasoning/utils.py,4203
vllm/distributed/device_communicators/base_device_communicator.py,4196
benchmarks/kernels/benchmark_machete.py,4196
vllm/v1/structured_output/utils.py,4193
tests/entrypoints/openai/test_models.py,4192
tests/tokenization/test_get_eos.py,4190
vllm/model_executor/layers/quantization/ptpc_fp8.py,4189
tests/tpu/test_custom_dispatcher.py,4188
vllm/scripts.py,4186
vllm/model_executor/models/qwen3_next.py,4186
vllm/model_executor/layers/quantization/kernels/scaled_mm/aiter.py,4182
tests/entrypoints/conftest.py,4182
tests/entrypoints/openai/test_prompt_validation.py,4181
vllm/transformers_utils/configs/jais.py,4177
vllm/v1/worker/worker_base.py,4174
tests/test_regression.py,4174
vllm/model_executor/layers/fused_moe/moe_align_block_size.py,4171
vllm/distributed/device_communicators/all2all.py,4171
vllm/reasoning/granite_reasoning_parser.py,4170
tests/entrypoints/openai/test_lora_adapters.py,4168
tests/plugins/vllm_add_dummy_platform/vllm_add_dummy_platform/dummy_platform.py,4163
tests/kernels/attention/test_triton_unified_attention.py,4163
tests/entrypoints/llm/test_prompt_validation.py,4163
vllm/model_executor/model_loader/tensorizer_loader.py,4161
benchmarks/benchmark_prefix_caching.py,4161
tests/entrypoints/openai/test_return_tokens_as_ids.py,4159
vllm/distributed/kv_transfer/kv_connector/v1/shared_storage_connector.py,4149
tests/samplers/test_ranks.py,4149
vllm/model_executor/models/phi4mm_utils.py,4148
tests/v1/e2e/test_spec_decode.py,4147
vllm/model_executor/models/telechat2.py,4140
vllm/model_executor/models/smolvlm.py,4139
vllm/distributed/device_communicators/cuda_communicator.py,4138
vllm/model_executor/models/phi4mm_audio.py,4135
vllm/model_executor/layers/mamba/ops/mamba_ssm.py,4133
tests/tokenization/test_cached_tokenizer.py,4132
vllm/model_executor/models/mllama.py,4125
