module,revisions,code
vllm/platforms/tpu.py,90,13
vllm/platforms/xpu.py,89,202
vllm/model_executor/models/molmo.py,89,1264
vllm/model_executor/models/utils.py,89,594
vllm/v1/core/kv_cache_utils.py,88,833
vllm/model_executor/models/qwen.py,88,323
benchmarks/benchmark_throughput.py,87,4
vllm/v1/core/kv_cache_manager.py,87,208
vllm/multimodal/registry.py,87,311
vllm/multimodal/utils.py,87,376
vllm/model_executor/layers/quantization/utils/fp8_utils.py,87,1237
requirements/test.txt,85,1343
tests/v1/core/test_scheduler.py,84,2340
vllm/model_executor/models/qwen3_vl.py,83,1618
vllm/transformers_utils/configs/__init__.py,83,82
vllm/model_executor/layers/quantization/gptq_marlin.py,82,754
vllm/v1/attention/backends/utils.py,82,520
vllm/config/vllm.py,82,1082
vllm/config/compilation.py,82,551
tests/distributed/test_pipeline_parallel.py,82,357
vllm/transformers_utils/tokenizer.py,82,12
vllm/entrypoints/openai/cli_args.py,82,179
vllm/model_executor/models/chameleon.py,82,902
vllm/model_executor/models/fuyu.py,82,270
vllm/model_executor/models/baichuan.py,79,406
vllm/v1/executor/multiproc_executor.py,79,676
vllm/model_executor/models/paligemma.py,79,332
vllm/inputs/preprocess.py,78,471
vllm/model_executor/models/blip2.py,76,555
vllm/model_executor/models/llava_onevision.py,75,708
vllm/multimodal/inputs.py,75,489
vllm/model_executor/models/chatglm.py,75,386
vllm/model_executor/models/glm4_1v.py,74,1450
vllm/v1/metrics/loggers.py,74,1060
examples/offline_inference/vision_language_multi_image.py,73,1234
vllm/model_executor/models/jamba.py,73,515
benchmarks/benchmark_latency.py,71,4
tests/entrypoints/openai/test_serving_chat.py,71,1463
tests/v1/core/test_kv_cache_utils.py,69,1627
tests/v1/worker/test_gpu_model_runner.py,69,924
vllm/model_executor/models/whisper.py,69,782
.buildkite/test-amd.yaml,69,1360
vllm/model_executor/models/qwen2_audio.py,69,347
vllm/model_executor/models/gpt_bigcode.py,67,274
tests/test_config.py,67,897
.buildkite/release-pipeline.yaml,67,511
vllm/engine/protocol.py,66,126
vllm/model_executor/models/gemma.py,66,355
vllm/model_executor/models/gpt2.py,66,301
vllm/model_executor/layers/quantization/mxfp4.py,66,1003
vllm/model_executor/models/gpt_j.py,65,291
vllm/model_executor/models/gemma3_mm.py,64,525
vllm/v1/request.py,64,239
vllm/outputs.py,63,221
tests/quantization/test_compressed_tensors.py,63,661
vllm/model_executor/models/gpt_neox.py,63,277
vllm/model_executor/models/falcon.py,63,446
.pre-commit-config.yaml,63,161
vllm/model_executor/models/idefics3.py,62,573
tests/v1/core/test_prefix_caching.py,62,1496
vllm/model_executor/layers/quantization/__init__.py,62,133
vllm/model_executor/model_loader/utils.py,62,191
vllm/model_executor/models/bert.py,62,697
vllm/model_executor/models/internlm2.py,62,406
vllm/model_executor/models/deepseek_vl2.py,62,486
vllm/model_executor/models/opt.py,62,345
vllm/model_executor/models/siglip.py,61,997
vllm/entrypoints/openai/run_batch.py,61,490
vllm/model_executor/models/llava_next_video.py,61,349
vllm/model_executor/models/qwen2_moe.py,61,497
benchmarks/kernels/benchmark_moe.py,61,735
vllm/benchmarks/datasets.py,61,2318
vllm/model_executor/models/config.py,61,408
vllm/model_executor/models/bloom.py,60,310
tests/lora/conftest.py,60,204
tests/models/test_initialization.py,60,123
vllm/model_executor/models/qwen2_5_omni_thinker.py,60,1037
vllm/model_executor/layers/activation.py,59,409
vllm/model_executor/models/gemma2.py,59,370
vllm/model_executor/models/aria.py,59,479
tests/entrypoints/test_chat_utils.py,58,1872
tests/models/utils.py,58,347
vllm/model_executor/models/minicpm.py,58,541
vllm/benchmarks/serve.py,58,1478
tests/models/multimodal/generation/test_common.py,58,1222
vllm/model_executor/models/commandr.py,58,383
vllm/model_executor/layers/quantization/utils/w8a8_utils.py,58,82
vllm/__init__.py,57,89
vllm/v1/attention/backends/triton_attn.py,57,427
vllm/model_executor/models/mpt.py,56,289
tests/v1/engine/test_engine_core_client.py,56,789
tests/v1/kv_connector/unit/test_nixl_connector.py,56,1678
vllm/model_executor/models/clip.py,56,811
vllm/model_executor/layers/quantization/awq_marlin.py,56,656
csrc/cache_kernels.cu,56,1060
tests/v1/entrypoints/llm/test_struct_output_generate.py,55,710
vllm/model_executor/layers/fused_moe/modular_kernel.py,55,753
tests/multimodal/test_processing.py,55,968
vllm/model_executor/models/phi.py,54,274
vllm/compilation/decorators.py,54,430
benchmarks/backend_request_func.py,54,542
vllm/v1/worker/utils.py,53,240
vllm/v1/engine/__init__.py,52,126
vllm/v1/engine/output_processor.py,52,630
vllm/model_executor/layers/fused_moe/cutlass_moe.py,51,926
vllm/model_executor/layers/mamba/mamba_mixer2.py,51,663
vllm/model_executor/models/qwen3_moe.py,51,639
vllm/config/parallel.py,51,417
vllm/model_executor/models/qwen3_next.py,51,1181
tests/v1/engine/test_engine_core.py,51,423
vllm/model_executor/models/mllama4.py,51,904
tests/lora/test_layers.py,50,1123
vllm/model_executor/models/stablelm.py,49,292
vllm/model_executor/models/starcoder2.py,49,301
vllm/entrypoints/api_server.py,48,134
vllm/forward_context.py,48,258
tests/basic_correctness/test_basic_correctness.py,48,180
vllm/v1/attention/backends/flex_attention.py,48,682
vllm/model_executor/models/olmo.py,48,303
vllm/model_executor/models/dbrx.py,48,416
tests/engine/test_arg_utils.py,47,406
vllm/model_executor/models/phimoe.py,47,534
vllm/platforms/__init__.py,47,196
vllm/model_executor/models/adapters.py,47,430
vllm/v1/attention/backends/mla/flashmla.py,46,255
vllm/model_executor/layers/fused_moe/config.py,46,748
vllm/model_executor/layers/fused_moe/deep_gemm_moe.py,46,258
vllm/v1/utils.py,46,287
vllm/v1/structured_output/__init__.py,46,235
cmake/cpu_extension.cmake,46,350
vllm/model_executor/layers/layernorm.py,46,338
vllm/v1/worker/gpu/model_runner.py,45,826
vllm/v1/attention/backends/mla/rocm_aiter_mla.py,45,216
vllm/model_executor/layers/quantization/bitsandbytes.py,45,516
vllm/v1/outputs.py,45,132
vllm/utils/deep_gemm.py,45,275
vllm/model_executor/models/keye.py,45,1408
vllm/model_executor/models/granite.py,45,384
vllm/model_executor/models/phi4mm.py,45,930
.github/mergify.yml,44,411
vllm/model_executor/layers/quantization/utils/marlin_utils.py,44,497
vllm/model_executor/models/mistral3.py,44,444
vllm/v1/metrics/stats.py,44,269
vllm/model_executor/model_loader/tensorizer.py,44,594
vllm/utils/flashinfer.py,44,482
vllm/distributed/kv_transfer/kv_connector/v1/base.py,44,197
tests/kernels/moe/test_moe.py,44,1272
vllm/model_executor/models/vision.py,43,374
vllm/model_executor/models/orion.py,43,317
vllm/model_executor/models/mamba.py,43,236
docs/serving/openai_compatible_server.md,43,814
vllm/distributed/device_communicators/shm_broadcast.py,43,474
tests/entrypoints/openai/test_chat.py,43,684
tests/kernels/utils.py,43,585
tests/v1/e2e/test_spec_decode.py,43,682
tests/v1/spec_decode/test_eagle.py,42,535
vllm/v1/attention/backends/rocm_aiter_fa.py,42,1048
vllm/model_executor/models/arctic.py,42,530
vllm/lora/utils.py,42,182
vllm/model_executor/layers/quantization/gguf.py,42,544
tests/entrypoints/openai/test_vision.py,42,502
vllm/entrypoints/cli/serve.py,42,215
vllm/inputs/data.py,42,131
vllm/model_executor/models/qwen3_omni_moe_thinker.py,41,1729
vllm/model_executor/models/nemotron.py,41,401
vllm/compilation/compiler_interface.py,41,399
vllm/model_executor/models/qwen_vl.py,41,627
vllm/lora/worker_manager.py,41,207
docs/features/tool_calling.md,41,338
vllm/model_executor/custom_op.py,41,174
vllm/multimodal/image.py,41,25
vllm/v1/sample/sampler.py,41,181
vllm/model_executor/models/gpt_oss.py,40,625
vllm/model_executor/models/modernbert.py,40,387
vllm/model_executor/models/olmoe.py,40,398
vllm/model_executor/models/ernie45_vl.py,40,1372
vllm/model_executor/models/exaone.py,40,427
vllm/model_executor/layers/fused_moe/__init__.py,40,111
vllm/model_executor/models/glm4v.py,39,607
vllm/multimodal/video.py,39,573
vllm/model_executor/models/granitemoe.py,39,449
vllm/logger.py,39,208
vllm/model_executor/layers/fused_moe/batched_deep_gemm_moe.py,39,316
tests/v1/kv_connector/unit/utils.py,39,334
vllm/model_executor/models/solar.py,39,396
vllm/model_executor/layers/fused_moe/fused_marlin_moe.py,38,683
tests/quantization/test_fp8.py,38,264
vllm/model_executor/models/jais.py,38,324
vllm/model_executor/layers/quantization/utils/quant_utils.py,38,585
vllm/distributed/device_communicators/custom_all_reduce.py,38,232
vllm/model_executor/models/aya_vision.py,38,359
vllm/v1/sample/rejection_sampler.py,38,555
vllm/v1/sample/ops/topk_topp_sampler.py,37,259
csrc/moe/torch_bindings.cpp,37,102
vllm/plugins/__init__.py,37,46
docs/usage/v1_guide.md,37,128
vllm/model_executor/models/bamba.py,37,429
vllm/distributed/kv_transfer/kv_connector/utils.py,37,329
vllm/model_executor/layers/fused_moe/rocm_aiter_fused_moe.py,37,330
tests/multimodal/test_utils.py,37,443
vllm/model_executor/models/minicpmo.py,37,578
vllm/model_executor/layers/vocab_parallel_embedding.py,37,406
vllm/model_executor/layers/quantization/quark/quark_moe.py,37,667
vllm/config/speculative.py,36,518
vllm/model_executor/models/voxtral.py,36,734
vllm/model_executor/models/roberta.py,36,260
vllm/v1/core/sched/output.py,36,178
vllm/v1/kv_cache_interface.py,36,321
vllm/v1/core/single_type_kv_cache_manager.py,35,598
examples/offline_inference/audio_language.py,35,406
tests/models/language/generation/test_hybrid.py,35,585
tests/v1/engine/test_async_llm.py,35,495
vllm/v1/attention/backends/cpu_attn.py,35,410
vllm/v1/serial_utils.py,35,359
docs/features/multimodal_inputs.md,35,802
tests/v1/worker/test_gpu_input_batch.py,34,306
vllm/model_executor/models/persimmon.py,34,294
vllm/model_executor/models/gritlm.py,34,154
vllm/model_executor/models/skyworkr1v.py,34,747
vllm/model_executor/layers/quantization/gptq.py,34,298
tests/v1/attention/utils.py,34,291
vllm/model_executor/models/llama_eagle3.py,34,313
tests/kernels/attention/test_attention_selector.py,34,216
vllm/model_executor/models/nano_nemotron_vl.py,34,1585
tests/compile/test_fusion_attn.py,34,462
vllm/model_executor/models/minimax_text_01.py,34,890
vllm/distributed/utils.py,34,317
vllm/model_executor/models/nemotron_h.py,34,731
vllm/multimodal/parse.py,33,466
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a8_fp8.py,33,175
vllm/model_executor/layers/logits_processor.py,33,65
vllm/model_executor/models/qwen2_rm.py,33,90
vllm/model_executor/layers/utils.py,33,194
vllm/entrypoints/utils.py,33,219
vllm/model_executor/models/glm4_moe.py,33,583
vllm/distributed/kv_transfer/kv_connector/factory.py,33,149
vllm/model_executor/models/kimi_vl.py,33,290
vllm/compilation/pass_manager.py,33,99
vllm/v1/core/block_pool.py,33,256
vllm/v1/structured_output/backend_xgrammar.py,33,288
vllm/model_executor/models/plamo2.py,32,789
tests/lora/test_lora_manager.py,32,619
vllm/model_executor/layers/quantization/moe_wna16.py,32,415
vllm/model_executor/models/zamba2.py,32,588
vllm/model_executor/layers/quantization/awq.py,31,227
requirements/cpu.txt,31,15
vllm/model_executor/models/deepseek_mtp.py,31,352
requirements/nightly_torch_test.txt,31,43
benchmarks/kernels/benchmark_paged_attention.py,31,219
vllm/compilation/wrapper.py,31,227
vllm/distributed/kv_transfer/kv_connector/v1/multi_connector.py,31,345
tests/compile/test_config.py,31,414
benchmarks/README.md,31,13
tests/lora/test_llama_tp.py,31,194
benchmarks/benchmark_serving_structured_output.py,31,861
vllm/model_executor/layers/fused_moe/fused_batched_moe.py,31,897
vllm/v1/engine/detokenizer.py,31,234
vllm/distributed/device_communicators/pynccl.py,31,309
vllm/v1/executor/abstract.py,31,256
vllm/model_executor/models/granite_speech.py,31,644
vllm/model_executor/layers/batch_invariant.py,31,733
tests/model_executor/test_enabled_custom_ops.py,31,132
docs/getting_started/installation/cpu.md,30,182
vllm/model_executor/models/granitemoehybrid.py,30,588
tests/v1/attention/test_attention_backends.py,30,560
vllm/model_executor/models/tarsier.py,30,502
cmake/utils.cmake,30,311
tests/models/multimodal/processing/test_tensor_schema.py,30,207
vllm/compilation/collective_fusion.py,30,997
vllm/model_executor/models/dots_ocr.py,30,661
vllm/v1/attention/backends/mla/cutlass_mla.py,30,219
vllm/usage/usage_lib.py,30,199
vllm/v1/engine/utils.py,30,839
vllm/v1/attention/backends/mla/flashattn_mla.py,30,288
vllm/model_executor/models/llama4.py,30,628
csrc/cpu/torch_bindings.cpp,30,251
vllm/v1/worker/block_table.py,30,235
vllm/model_executor/model_loader/bitsandbytes_loader.py,30,619
vllm/model_executor/layers/quantization/ipex_quant.py,29,330
vllm/v1/worker/cpu_model_runner.py,29,89
tests/compile/test_fusion.py,29,337
vllm/config/cache.py,29,101
vllm/model_executor/layers/fused_moe/triton_deep_gemm_moe.py,29,71
vllm/model_executor/layers/fused_moe/utils.py,29,256
vllm/model_executor/models/mamba2.py,29,235
vllm/model_executor/models/ovis.py,29,423
vllm/lora/punica_wrapper/punica_gpu.py,29,270
vllm/distributed/device_communicators/cuda_communicator.py,29,268
docker/Dockerfile.cpu,29,140
vllm/multimodal/__init__.py,29,26
requirements/tpu.txt,29,13
vllm/pooling_params.py,29,156
tests/entrypoints/openai/test_audio.py,28,332
vllm/model_executor/models/gemma3n_mm.py,28,611
vllm/model_executor/models/interfaces_base.py,28,136
vllm/model_executor/models/bert_with_rope.py,28,611
tests/distributed/test_pynccl.py,28,311
vllm/model_executor/models/h2ovl.py,28,453
tests/kernels/moe/test_deepep_deepgemm_moe.py,28,463
vllm/benchmarks/throughput.py,28,819
vllm/model_executor/layers/quantization/experts_int8.py,28,166
tests/models/test_transformers.py,28,197
tests/basic_correctness/test_cumem.py,27,169
vllm/inputs/__init__.py,27,40
tests/models/multimodal/generation/vlm_utils/model_utils.py,27,870
vllm/model_executor/models/step3_vl.py,27,946
vllm/model_executor/models/falcon_h1.py,27,535
vllm/v1/engine/input_processor.py,27,564
tests/v1/sample/test_logprobs.py,27,730
vllm/model_executor/model_loader/default_loader.py,27,243
requirements/docs.txt,27,15
vllm/model_executor/models/olmo2.py,27,335
vllm/model_executor/models/intern_vit.py,27,375
vllm/model_executor/models/gemma3.py,27,432
tests/distributed/test_comm_ops.py,26,217
tests/lora/test_worker.py,26,90
vllm/config/scheduler.py,26,141
csrc/cache.h,26,64
vllm/model_executor/layers/fused_moe/deepep_ll_prepare_finalize.py,26,351
vllm/v1/attention/backends/rocm_attn.py,26,290
requirements/cuda.txt,26,11
vllm/transformers_utils/processor.py,26,322
vllm/model_executor/layers/quantization/compressed_tensors/utils.py,26,107
tests/models/test_registry.py,26,93
benchmarks/benchmark_prefix_caching.py,26,198
csrc/layernorm_kernels.cu,26,232
vllm/model_executor/models/interns1.py,26,628
docs/models/pooling_models.md,25,255
vllm/multimodal/audio.py,25,121
vllm/compilation/fusion.py,25,444
vllm/model_executor/layers/quantization/utils/flashinfer_fp4_moe.py,25,415
cmake/external_projects/vllm_flash_attn.cmake,25,44
requirements/rocm-test.txt,25,84
tests/v1/engine/test_output_processor.py,25,1001
vllm/model_executor/layers/fused_moe/pplx_prepare_finalize.py,25,283
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_wNa16.py,25,189
vllm/model_executor/layers/quantization/utils/marlin_utils_fp8.py,25,263
vllm/model_executor/layers/mamba/mamba_mixer.py,25,422
vllm/v1/attention/backends/gdn_attn.py,25,358
vllm/multimodal/cache.py,25,404
.buildkite/scripts/hardware_ci/run-tpu-v1-test.sh,25,121
tests/v1/attention/test_mla_backends.py,25,575
vllm/v1/attention/backends/mla/flashmla_sparse.py,25,742
tests/kernels/quantization/test_block_fp8.py,25,214
vllm/inputs/parse.py,25,103
vllm/v1/core/encoder_cache_manager.py,24,165
csrc/rocm/attention.cu,24,3038
vllm/_ipex_ops.py,24,388
tests/v1/core/utils.py,24,213
vllm/model_executor/layers/quantization/fbgemm_fp8.py,24,153
vllm/model_executor/models/siglip2navit.py,24,516
vllm/model_executor/utils.py,24,57
vllm/distributed/device_communicators/all2all.py,24,440
vllm/model_executor/models/blip.py,24,267
tests/models/language/generation/test_common.py,24,159
vllm/model_executor/models/minimax_vl_01.py,24,298
vllm/model_executor/models/hyperclovax_vision.py,24,933
vllm/v1/attention/backends/mamba2_attn.py,24,181
vllm/model_executor/models/qwen3.py,24,260
vllm/lora/layers/fused_moe.py,24,595
vllm/reasoning/abs_reasoning_parsers.py,23,163
docker/Dockerfile.rocm,23,271
vllm/v1/worker/lora_model_runner_mixin.py,23,170
vllm/model_executor/models/bailing_moe.py,23,531
vllm/v1/core/kv_cache_coordinator.py,23,378
docs/configuration/optimization.md,23,199
vllm/compilation/inductor_pass.py,23,78
vllm/_aiter_ops.py,23,1268
docs/.nav.yml,23,65
tests/samplers/test_logprobs.py,23,63
vllm/model_executor/models/mlp_speculator.py,23,134
tests/v1/test_oracle.py,23,11
docs/features/reasoning_outputs.md,23,271
vllm/distributed/device_communicators/base_device_communicator.py,23,196
vllm/model_executor/layers/quantization/utils/mxfp4_utils.py,23,151
vllm/model_executor/layers/quantization/utils/flashinfer_utils.py,23,224
vllm/model_executor/models/qwen3_vl_moe.py,23,383
vllm/model_executor/layers/fused_moe/deepep_ht_prepare_finalize.py,23,323
.buildkite/scripts/hardware_ci/run-cpu-test.sh,23,80
vllm/model_executor/models/mistral.py,23,292
tests/kernels/moe/test_pplx_moe.py,23,860
vllm/model_executor/layers/rotary_embedding/mrope.py,23,312
docker/Dockerfile.rocm_base,23,251
vllm/model_executor/layers/mamba/ops/causal_conv1d.py,23,925
vllm/multimodal/hasher.py,23,111
tests/models/language/pooling/test_embedding.py,23,64
vllm/v1/structured_output/utils.py,23,272
mkdocs.yaml,23,132
tests/distributed/test_custom_all_reduce.py,22,96
vllm/model_executor/models/llama_eagle.py,22,177
vllm/v1/worker/gpu/cudagraph_utils.py,22,244
tests/kernels/quant_utils.py,22,226
vllm/v1/attention/backends/mamba_attn.py,22,262
benchmarks/cutlass_benchmarks/w8a8_benchmarks.py,22,297
vllm/entrypoints/renderer.py,22,264
vllm/v1/structured_output/backend_guidance.py,22,220
vllm/v1/worker/worker_base.py,22,230
tests/entrypoints/llm/test_generate.py,22,81
tests/kernels/moe/test_cutlass_moe.py,22,489
vllm/model_executor/models/grok1.py,22,626
vllm/model_executor/layers/quantization/base_config.py,22,81
vllm/model_executor/models/hunyuan_v1.py,22,863
examples/offline_inference/data_parallel.py,22,135
tests/models/test_oot_registration.py,22,79
vllm/model_executor/models/idefics2_vision_model.py,22,326
vllm/model_executor/models/ernie45_moe.py,22,608
vllm/model_executor/models/paddleocr_vl.py,22,1045
tests/tool_use/utils.py,22,335
tests/model_executor/test_model_load_with_params.py,22,90
tests/entrypoints/openai/test_transcription_validation.py,21,83
vllm/v1/attention/backends/tree_attn.py,21,332
vllm/model_executor/models/medusa.py,21,126
csrc/activation_kernels.cu,21,331
vllm/model_executor/layers/fused_moe/flashinfer_cutlass_moe.py,21,225
vllm/v1/spec_decode/ngram_proposer.py,21,161
vllm/v1/attention/backends/mla/triton_mla.py,21,140
vllm/model_executor/layers/quantization/quark/quark.py,21,424
vllm/model_executor/models/nemotron_nas.py,21,376
vllm/model_executor/models/ovis2_5.py,21,534
docs/contributing/model/multimodal.md,21,692
csrc/pos_encoding_kernels.cu,21,137
requirements/rocm.txt,21,16
docs/deployment/docker.md,21,121
vllm/model_executor/models/nvlm_d.py,21,164
tests/v1/sample/test_sampler.py,21,330
vllm/v1/worker/cpu_worker.py,21,147
vllm/assets/video.py,21,101
vllm/model_executor/models/dots1.py,20,485
vllm/v1/worker/kv_connector_model_runner_mixin.py,20,167
tests/compile/test_silu_mul_quant_fusion.py,20,220
vllm/model_executor/models/nemotron_vl.py,20,508
docs/README.md,20,52
tests/entrypoints/openai/test_completion_with_function_calling.py,20,424
docs/getting_started/quickstart.md,20,214
csrc/moe/moe_ops.h,20,48
vllm/model_executor/parameter.py,20,381
tests/test_inputs.py,20,96
tests/compile/test_functionalization.py,20,199
tests/entrypoints/openai/test_lora_resolvers.py,20,163
docs/usage/troubleshooting.md,20,251
vllm/distributed/eplb/eplb_state.py,20,825
tests/distributed/test_sequence_parallel.py,20,300
vllm/model_executor/layers/fused_moe/gpt_oss_triton_kernels_moe.py,20,424
tests/weight_loading/models.txt,20,29
vllm/model_executor/models/minicpm3.py,20,180
vllm/model_executor/models/gemma3n.py,20,933
vllm/v1/sample/metadata.py,20,22
vllm/model_executor/layers/fused_moe/flashinfer_cutlass_prepare_finalize.py,20,311
tests/lora/test_quant_model.py,20,132
vllm/version.py,19,16
vllm/transformers_utils/utils.py,19,72
docs/features/lora.md,19,292
vllm/model_executor/layers/rotary_embedding/base.py,19,215
vllm/model_executor/layers/quantization/compressed_tensors/schemes/__init__.py,19,31
vllm/lora/punica_wrapper/punica_base.py,19,291
vllm/transformers_utils/configs/eagle.py,19,68
tests/v1/spec_decode/test_ngram.py,19,166
vllm/triton_utils/importing.py,19,75
.buildkite/scripts/hardware_ci/run-xpu-test.sh,19,42
vllm/distributed/communication_op.py,19,24
tests/kernels/moe/test_pplx_cutlass_moe.py,19,307
vllm/model_executor/layers/fused_moe/unquantized_fused_moe_method.py,19,309
vllm/compilation/vllm_inductor_pass.py,19,116
tests/kernels/attention/test_flashinfer_trtllm_attention.py,19,398
tests/v1/sample/test_rejection_sampler.py,19,575
docs/contributing/profiling.md,19,182
csrc/moe/topk_softmax_kernels.cu,19,664
vllm/lora/ops/triton_ops/fused_moe_lora_op.py,19,603
docs/contributing/model/basic.md,18,105
examples/offline_inference/spec_decode.py,18,214
vllm/model_executor/layers/quantization/torchao.py,18,243
vllm/compilation/sequence_parallelism.py,18,245
vllm/model_executor/models/glm4.py,18,314
vllm/model_executor/models/cohere2_vision.py,18,345
vllm/distributed/kv_transfer/kv_connector/v1/offloading_connector.py,18,420
benchmarks/kernels/benchmark_rope.py,18,88
benchmarks/kernels/benchmark_machete.py,18,593
tests/samplers/test_beam_search.py,18,144
vllm/model_executor/layers/rotary_embedding/common.py,18,200
vllm/config/multimodal.py,18,111
vllm/model_executor/models/granitemoeshared.py,18,279
vllm/distributed/device_communicators/pynccl_wrapper.py,18,412
vllm/model_executor/models/exaone4.py,18,415
vllm/model_executor/layers/mamba/ops/mamba_ssm.py,18,463
vllm/model_executor/models/deepseek_ocr.py,18,478
vllm/distributed/kv_transfer/kv_connector/v1/lmcache_connector.py,18,167
tests/entrypoints/openai/test_tokenization.py,18,296
vllm/entrypoints/launcher.py,18,103
tests/quantization/test_quark.py,18,252
vllm/lora/request.py,18,29
tests/lora/test_mixtral.py,18,61
tests/entrypoints/openai/test_serving_models.py,18,106
vllm/model_executor/models/internlm2_ve.py,17,123
tests/kernels/mamba/test_mamba_ssm_ssd.py,17,417
vllm/v1/engine/coordinator.py,17,266
tests/lora/test_chatglm3_tp.py,17,101
tests/kernels/attention/test_cache.py,17,878
vllm/model_executor/models/lfm2.py,17,456
vllm/v1/engine/logprobs.py,17,160
docs/features/structured_outputs.md,17,259
docs/contributing/README.md,17,194
tests/v1/engine/test_llm_engine.py,17,172
tests/v1/kv_connector/nixl_integration/run_accuracy_test.sh,17,195
tests/entrypoints/openai/test_video.py,17,277
vllm/model_executor/layers/fused_moe/prepare_finalize.py,17,67
vllm/benchmarks/lib/endpoint_request_func.py,17,589
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w4a4_nvfp4.py,17,204
vllm/distributed/kv_transfer/kv_connector/v1/p2p/p2p_nccl_connector.py,17,317
docs/mkdocs/hooks/generate_argparse.py,17,165
tests/test_logger.py,17,389
tests/kernels/moe/test_deepep_moe.py,17,447
tools/pre_commit/mypy.py,17,116
benchmarks/kernels/benchmark_marlin.py,17,354
docs/design/moe_kernel_features.md,17,85
vllm/v1/worker/xpu_worker.py,17,125
tests/multimodal/test_cache.py,17,371
vllm/compilation/fix_functionalization.py,17,183
vllm/model_executor/models/midashenglm.py,17,668
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a8_int8.py,17,85
tests/distributed/test_utils.py,17,114
vllm/v1/worker/gpu/input_batch.py,17,409
csrc/quantization/machete/generate.py,17,314
vllm/v1/attention/backends/mla/indexer.py,17,254
docs/design/plugin_system.md,17,112
tests/v1/entrypoints/openai/test_completion.py,17,556
vllm/model_executor/models/glm4_moe_mtp.py,17,280
vllm/lora/peft_helper.py,16,85
tests/entrypoints/openai/test_run_batch.py,16,186
requirements/rocm-build.txt,16,15
tests/kernels/moe/test_flashinfer.py,16,280
vllm/model_executor/model_loader/__init__.py,16,108
.buildkite/lm-eval-harness/test_lm_eval_correctness.py,16,75
