entity,coupled,degree,average-revs
csrc/quantization/marlin/dense/marlin_cuda_kernel.cu,csrc/quantization/marlin/qqq/marlin_qqq_gemm_kernel.cu,83,6
vllm/lora/ops/bgmv_expand.py,vllm/lora/ops/sgmv_expand.py,83,6
vllm/lora/ops/bgmv_expand.py,vllm/lora/ops/sgmv_expand_slice.py,83,6
csrc/moe/marlin_moe_wna16/generate_kernels.py,csrc/moe/marlin_moe_wna16/ops.cu,83,6
examples/offline_inference/basic/embed.py,examples/offline_inference/basic/score.py,83,6
vllm/lora/layers/base.py,vllm/lora/layers/column_parallel_linear.py,80,8
tests/kernels/test_causal_conv1d.py,tests/kernels/test_mamba_ssm.py,80,8
csrc/custom_all_reduce.cuh,csrc/custom_all_reduce_test.cu,80,8
vllm/core/block/naive_block.py,vllm/core/block/prefix_caching_block.py,78,19
vllm/core/block/interfaces.py,vllm/core/block/naive_block.py,78,17
vllm/core/block/cpu_gpu_block_allocator.py,vllm/core/block/naive_block.py,78,17
tests/distributed/test_basic_distributed_correctness.py,tests/distributed/test_chunked_prefill_distributed.py,77,9
tests/v1/kv_connector/unit/test_remote_decode_lifecycle.py,tests/v1/kv_connector/unit/test_remote_prefill_lifecycle.py,77,9
tests/models/language/pooling/test_nomic.py,tests/models/language/pooling/test_snowflake_arctic_embed.py,76,7
tests/models/test_aqlm.py,tests/models/test_gptq_marlin_24.py,76,7
tests/samplers/test_typical_acceptance_sampler.py,vllm/model_executor/layers/typical_acceptance_sampler.py,76,7
tests/v1/determinism/test_batch_invariance.py,tests/v1/determinism/utils.py,76,7
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_scheme.py,vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_unquantized.py,76,7
docs/source/dev/offline_inference/llm_inputs.rst,tests/mq_llm_engine/utils.py,76,7
vllm/v1/attention/backends/tree_attn.py,vllm/v1/attention/backends/xformers.py,75,12
tests/v1/attention/test_attention_splitting.py,vllm/v1/worker/ubatch_utils.py,75,8
vllm/lora/layers/column_parallel_linear.py,vllm/lora/layers/row_parallel_linear.py,75,8
vllm/lora/layers/column_parallel_linear.py,vllm/lora/lora_weights.py,75,8
csrc/ops.h,csrc/torch_bindings.cpp,74,129
vllm/transformers_utils/tokenizer_group/base_tokenizer_group.py,vllm/transformers_utils/tokenizer_group/tokenizer_group.py,73,10
vllm/lora/layers/base_linear.py,vllm/lora/layers/column_parallel_linear.py,73,10
vllm/model_executor/models/bamba.py,vllm/model_executor/models/mamba2.py,72,17
cacheflow/models/llama.py,cacheflow/models/opt.py,72,13
.github/workflows/clang-format.yml,.github/workflows/yapf.yml,72,11
vllm/model_executor/layers/mamba/ops/ssd_chunk_scan.py,vllm/model_executor/layers/mamba/ops/ssd_combined.py,72,11
vllm/transformers_utils/tokenizer_group/base_tokenizer_group.py,vllm/transformers_utils/tokenizer_group/ray_tokenizer_group.py,72,11
vllm/lora/layers/logits_processor.py,vllm/lora/layers/row_parallel_linear.py,71,7
vllm/lora/layers/row_parallel_linear.py,vllm/lora/layers/vocal_parallel_embedding.py,71,7
tests/compile/piecewise/test_multiple_graphs.py,tests/compile/test_decorator.py,71,7
csrc/cutlass_extensions/epilogue/scaled_mm_epilogues_c2x.hpp,csrc/cutlass_extensions/epilogue/scaled_mm_epilogues_c3x.hpp,71,7
tests/tokenization/test_tokenizer_group.py,vllm/transformers_utils/tokenizer_group/base_tokenizer_group.py,71,7
vllm/model_executor/models/bamba.py,vllm/model_executor/models/zamba2.py,70,19
tests/v1/sample/test_sampler.py,vllm/v1/sample/metadata.py,70,16
tests/mq_llm_engine/test_error_handling.py,tests/mq_llm_engine/utils.py,70,10
cacheflow/server/llm_server.py,examples/simple_server.py,70,9
csrc/attention_kernels.cu,tests/kernels/attention.py,70,9
vllm/model_executor/layers/mamba/ops/ssd_combined.py,vllm/model_executor/layers/mamba/ops/ssd_state_passing.py,70,9
vllm/lora/layers/base_linear.py,vllm/lora/layers/vocal_parallel_embedding.py,70,9
tests/entrypoints/openai/test_rerank.py,tests/entrypoints/openai/test_score.py,70,9
vllm/lora/layers/base_linear.py,vllm/lora/layers/logits_processor.py,70,9
vllm/model_executor/layers/mamba/ops/ssd_chunk_scan.py,vllm/model_executor/layers/mamba/ops/ssd_state_passing.py,70,9
tests/compile/piecewise/test_simple.py,tests/compile/piecewise/test_toy_llama.py,69,23
vllm/core/block/common.py,vllm/core/block/interfaces.py,69,13
tests/core/block/test_prefix_caching_block.py,vllm/core/block/prefix_caching_block.py,68,18
vllm/model_executor/layers/fused_moe/batched_triton_or_deep_gemm_moe.py,vllm/model_executor/layers/fused_moe/triton_deep_gemm_moe.py,68,18
.github/workflows/ruff.yml,.github/workflows/yapf.yml,68,15
tests/models/registry.py,vllm/model_executor/models/registry.py,67,271
csrc/moe/moe_ops.h,csrc/moe/torch_bindings.cpp,66,26
vllm/core/block/cpu_gpu_block_allocator.py,vllm/core/block/prefix_caching_block.py,66,20
vllm/core/block/interfaces.py,vllm/core/block/prefix_caching_block.py,66,20
vllm/model_executor/models/bamba.py,vllm/model_executor/models/falcon_h1.py,66,17
tests/v1/spec_decode/test_ngram.py,vllm/v1/spec_decode/ngram_proposer.py,66,17
tests/quantization/test_torchao.py,vllm/model_executor/layers/quantization/torchao.py,66,14
tests/kernels/moe/test_pplx_cutlass_moe.py,tests/kernels/moe/test_pplx_moe.py,66,11
vllm/model_executor/model_loader/runai_streamer_loader.py,vllm/model_executor/model_loader/sharded_state_loader.py,66,9
csrc/quantization/gguf/gguf_kernel.cu,csrc/quantization/gguf/mmvq.cuh,66,9
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a8_dynamictoken.py,vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a8_statictensor.py,66,8
vllm/v1/worker/gpu/sample/penalties.py,vllm/v1/worker/gpu/sample/sampler.py,66,8
csrc/quantization/machete/generate.py,csrc/quantization/machete/machete_prepack_launcher.cuh,66,8
tests/samplers/test_typical_acceptance_sampler.py,vllm/model_executor/layers/spec_decode_base_sampler.py,66,8
examples/offline_inference/vision_language.py,examples/offline_inference/vision_language_multi_image.py,64,80
tests/kernels/moe/test_deepep_deepgemm_moe.py,tests/kernels/moe/test_deepep_moe.py,64,14
tests/kernels/test_activation.py,tests/kernels/test_layernorm.py,64,13
vllm/core/block/common.py,vllm/core/block/naive_block.py,64,13
vllm/model_executor/models/clip.py,vllm/model_executor/models/siglip.py,63,36
tests/kernels/moe/test_cutlass_moe.py,tests/kernels/moe/test_pplx_cutlass_moe.py,63,11
vllm/model_executor/models/nemotron.py,vllm/model_executor/models/solar.py,63,11
csrc/moe/marlin_moe_ops.cu,csrc/moe/marlin_moe_ops.h,63,10
csrc/mamba/causal_conv1d/causal_conv1d.cu,tests/kernels/test_causal_conv1d.py,63,10
docs/source/dev/multimodal/multimodal_index.rst,docs/source/dev/offline_inference/llm_inputs.rst,63,10
vllm/model_executor/models/mamba2.py,vllm/model_executor/models/zamba2.py,62,16
vllm/model_executor/models/falcon_h1.py,vllm/model_executor/models/zamba2.py,62,16
vllm/model_executor/models/aquila.py,vllm/model_executor/models/internlm.py,62,15
tests/core/block/test_prefix_caching_block.py,vllm/core/block/naive_block.py,62,15
csrc/mamba/causal_conv1d/causal_conv1d.cu,csrc/mamba/causal_conv1d/causal_conv1d.h,62,8
csrc/quantization/fp4/activation_nvfp4_quant_fusion_kernels.cu,csrc/quantization/fp4/nvfp4_experts_quant.cu,62,8
csrc/moe/marlin_moe_wna16/kernel.h,csrc/moe/marlin_moe_wna16/marlin_template.h,62,8
tests/models/test_gptq_marlin.py,tests/models/test_gptq_marlin_24.py,62,8
vllm/lora/layers/base.py,vllm/lora/layers/base_linear.py,62,8
csrc/quantization/fp4/nvfp4_experts_quant.cu,csrc/quantization/fp4/nvfp4_quant_entry.cu,62,8
tests/models/test_gptq_marlin_24.py,tests/models/test_marlin.py,62,8
.github/workflows/actionlint.yml,.github/workflows/clang-format.yml,62,8
csrc/moe/marlin_moe_wna16/marlin_template.h,csrc/quantization/gptq_marlin/marlin_template.h,62,8
vllm/model_executor/layers/spec_decode_base_sampler.py,vllm/model_executor/layers/typical_acceptance_sampler.py,62,8
vllm/model_executor/models/bert.py,vllm/model_executor/models/roberta.py,61,34
vllm/engine/multiprocessing/__init__.py,vllm/engine/multiprocessing/client.py,61,33
vllm/model_executor/layers/fused_moe/fused_batched_moe.py,vllm/model_executor/layers/fused_moe/triton_deep_gemm_moe.py,61,21
vllm/core/block/common.py,vllm/core/block/cpu_gpu_block_allocator.py,61,13
vllm/model_executor/layers/quantization/awq_marlin.py,vllm/model_executor/layers/quantization/gptq_marlin.py,60,51
vllm/model_executor/models/bloom.py,vllm/model_executor/models/gpt_neox.py,60,20
vllm/model_executor/models/gpt_j.py,vllm/model_executor/models/gpt_neox.py,60,20
vllm/model_executor/models/granitemoehybrid.py,vllm/model_executor/models/mamba2.py,60,15
vllm/model_executor/models/falcon_h1.py,vllm/model_executor/models/granitemoehybrid.py,60,15
vllm/core/block/block_table.py,vllm/core/block/common.py,60,12
tests/spec_decode/e2e/test_medusa_correctness.py,tests/spec_decode/e2e/test_ngram_correctness.py,60,10
docs/source/models/generative_models.md,docs/source/models/pooling_models.md,60,10
tests/models/test_gptq_marlin.py,tests/models/test_marlin.py,60,10
vllm/core/block_manager_v1.py,vllm/core/block_manager_v2.py,59,22
vllm/model_executor/layers/fused_moe/batched_triton_or_deep_gemm_moe.py,vllm/model_executor/layers/fused_moe/fused_batched_moe.py,59,19
requirements/build.txt,requirements/rocm-build.txt,59,14
.github/workflows/clang-format.yml,.github/workflows/ruff.yml,59,14
vllm/attention/backends/rocm_flash_attn.py,vllm/attention/backends/xformers.py,58,53
vllm/platforms/hpu.py,vllm/platforms/neuron.py,58,21
vllm/model_executor/models/llama_eagle.py,vllm/model_executor/models/llama_eagle3.py,58,21
tests/compile/test_functionalization.py,tests/compile/test_fusion.py,58,17
vllm/model_executor/models/granitemoehybrid.py,vllm/model_executor/models/zamba2.py,58,17
vllm/model_executor/layers/fused_moe/flashinfer_cutlass_moe.py,vllm/model_executor/layers/fused_moe/flashinfer_cutlass_prepare_finalize.py,58,16
tests/samplers/test_rejection_sampler.py,vllm/model_executor/layers/rejection_sampler.py,58,16
tests/spec_decode/test_spec_decode_worker.py,vllm/spec_decode/interfaces.py,58,16
tests/v1/kv_connector/unit/test_offloading_connector.py,vllm/distributed/kv_transfer/kv_connector/v1/offloading_connector.py,58,12
vllm/v1/executor/ray_executor.py,vllm/v1/executor/uniproc_executor.py,58,12
vllm/model_executor/layers/rotary_embedding/base.py,vllm/model_executor/layers/rotary_embedding/deepseek_scaling_rope.py,58,12
cacheflow/config.py,cacheflow/server/llm_server.py,58,9
csrc/mamba/mamba_ssm/selective_scan.h,csrc/mamba/mamba_ssm/selective_scan_fwd.cu,58,9
csrc/quantization/gguf/dequantize.cuh,csrc/quantization/gguf/gguf_kernel.cu,58,9
tests/models/test_aqlm.py,tests/models/test_marlin.py,58,9
vllm/lora/layers/base_linear.py,vllm/lora/layers/row_parallel_linear.py,58,9
tests/models/test_aqlm.py,tests/models/test_gptq_marlin.py,58,9
csrc/torch_bindings.cpp,vllm/_custom_ops.py,57,170
vllm/model_executor/layers/fused_moe/batched_deep_gemm_moe.py,vllm/model_executor/layers/fused_moe/triton_deep_gemm_moe.py,57,26
vllm/model_executor/layers/quantization/experts_int8.py,vllm/model_executor/layers/quantization/moe_wna16.py,57,18
vllm/model_executor/models/bamba.py,vllm/model_executor/models/granitemoehybrid.py,57,18
vllm/model_executor/models/falcon_h1.py,vllm/model_executor/models/mamba2.py,57,14
tests/spec_decode/test_ngram_worker.py,vllm/spec_decode/top1_proposer.py,57,11
vllm/model_executor/models/exaone.py,vllm/model_executor/models/solar.py,57,11
benchmark/benchmark_latency.py,simple_server.py,57,11
tests/entrypoints/test_responses_utils.py,vllm/entrypoints/responses_utils.py,57,11
cacheflow/model_executor/layers/sampler.py,cacheflow/sampling_params.py,57,11
vllm/model_executor/models/blip2.py,vllm/model_executor/models/chameleon.py,56,36
vllm/model_executor/models/llava_next_video.py,vllm/model_executor/models/llava_onevision.py,56,34
vllm/attention/backends/ipex_attn.py,vllm/attention/backends/pallas.py,56,23
vllm/core/block_manager_v2.py,vllm/core/interfaces.py,56,20
vllm/core/block/cpu_gpu_block_allocator.py,vllm/core/block_manager_v2.py,56,20
cacheflow/worker/controller.py,cacheflow/worker/worker.py,56,16
tests/spec_decode/e2e/test_mlp_correctness.py,tests/spec_decode/e2e/test_ngram_correctness.py,56,13
tests/compile/test_sequence_parallelism.py,vllm/compilation/vllm_inductor_pass.py,56,13
vllm/engine/multiprocessing/__init__.py,vllm/engine/multiprocessing/engine.py,55,27
vllm/model_executor/layers/fused_moe/batched_deep_gemm_moe.py,vllm/model_executor/layers/fused_moe/batched_triton_or_deep_gemm_moe.py,55,24
tests/distributed/test_pynccl.py,vllm/distributed/device_communicators/pynccl.py,55,24
vllm/lora/punica_wrapper/punica_base.py,vllm/lora/punica_wrapper/punica_gpu.py,55,20
tests/multimodal/test_cache.py,vllm/multimodal/cache.py,55,15
cacheflow/models/model_utils.py,cacheflow/models/opt.py,55,15
tests/core/block/test_naive_block.py,tests/core/block/test_prefix_caching_block.py,55,9
tests/compile/test_async_tp.py,tests/compile/test_sequence_parallelism.py,55,9
tests/v1/cudagraph/test_cudagraph_dispatch.py,vllm/v1/cudagraph_dispatcher.py,55,9
vllm/v1/attention/backends/mamba1_attn.py,vllm/v1/attention/backends/short_conv_attn.py,55,9
vllm/v1/worker/gpu/sample/metadata.py,vllm/v1/worker/gpu/states.py,55,9
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_unquantized.py,vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w4a16_24.py,55,9
.buildkite/lm-eval-harness/run-lm-eval-gsm-hf-baseline.sh,.buildkite/lm-eval-harness/run-lm-eval-gsm-vllm-baseline.sh,55,9
tests/tokenization/test_tokenizer_group.py,vllm/transformers_utils/tokenizer_group/ray_tokenizer_group.py,55,9
csrc/moe/marlin_moe_wna16/marlin_template.h,csrc/moe/marlin_moe_wna16/ops.cu,55,9
vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a16_fp8.py,vllm/model_executor/layers/quantization/compressed_tensors/schemes/compressed_tensors_w8a8_int8.py,55,9
vllm/model_executor/layers/fused_moe/fused_moe_method_base.py,vllm/model_executor/layers/fused_moe/fused_moe_modular_method.py,55,9
.github/workflows/actionlint.yml,.github/workflows/yapf.yml,55,9
vllm/model_executor/model_loader/base_loader.py,vllm/model_executor/model_loader/tensorizer_loader.py,55,9
vllm/transformers_utils/config.py,vllm/transformers_utils/configs/__init__.py,54,126
vllm/v1/engine/async_llm.py,vllm/v1/engine/llm_engine.py,54,112
tests/v1/core/test_kv_cache_utils.py,vllm/v1/core/kv_cache_utils.py,54,66
tests/models/decoder_only/vision_language/test_models.py,tests/models/decoder_only/vision_language/vlm_utils/model_utils.py,54,33
.buildkite/scripts/generate-nightly-index.py,.buildkite/scripts/upload-wheels.sh,54,11
tests/v1/tpu/test_sampler.py,vllm/v1/sample/tpu/metadata.py,54,11
vllm/worker/openvino_model_runner.py,vllm/worker/openvino_worker.py,54,11
vllm/v1/worker/gpu/cudagraph_utils.py,vllm/v1/worker/gpu/model_runner.py,53,34
vllm/distributed/kv_transfer/kv_connector/v1/base.py,vllm/distributed/kv_transfer/kv_connector/v1/multi_connector.py,53,32
vllm/model_executor/layers/fused_moe/deep_gemm_moe.py,vllm/model_executor/layers/fused_moe/triton_deep_gemm_moe.py,53,28
vllm/v1/sample/metadata.py,vllm/v1/sample/sampler.py,53,26
tests/core/block/test_prefix_caching_block.py,vllm/core/block/interfaces.py,53,15
tests/core/block/test_prefix_caching_block.py,vllm/core/block/cpu_gpu_block_allocator.py,53,15
vllm/model_executor/models/glm4v.py,vllm/model_executor/models/qwen_vl.py,53,15
tests/v1/sample/test_rejection_sampler.py,vllm/v1/sample/metadata.py,53,15
tests/compile/test_functionalization.py,vllm/compilation/vllm_inductor_pass.py,53,13
tests/entrypoints/openai/test_serving_models.py,vllm/entrypoints/openai/serving_models.py,53,13
vllm/model_executor/models/granite.py,vllm/model_executor/models/solar.py,53,13
vllm/v1/attention/backends/mamba1_attn.py,vllm/v1/attention/backends/mamba2_attn.py,53,13
vllm/model_executor/layers/quantization/awq.py,vllm/model_executor/layers/quantization/squeezellm.py,53,13
vllm/transformers_utils/tokenizer_group/__init__.py,vllm/transformers_utils/tokenizer_group/ray_tokenizer_group.py,53,13
vllm/model_executor/models/llava.py,vllm/model_executor/models/llava_next.py,52,80
vllm/model_executor/layers/fused_moe/fused_batched_moe.py,vllm/model_executor/layers/fused_moe/modular_kernel.py,52,33
vllm/inputs/__init__.py,vllm/inputs/data.py,52,23
tests/compile/test_fusion.py,vllm/compilation/fusion.py,52,21
vllm/model_executor/layers/quantization/experts_int8.py,vllm/model_executor/layers/quantization/quark/quark_moe.py,52,19
vllm/model_executor/layers/fused_moe/deepep_ht_prepare_finalize.py,vllm/model_executor/layers/fused_moe/deepep_ll_prepare_finalize.py,52,17
vllm/core/block/cpu_gpu_block_allocator.py,vllm/core/interfaces.py,52,17
tests/kernels/test_activation.py,tests/kernels/test_pos_encoding.py,52,17
vllm/attention/backends/blocksparse_attn.py,vllm/attention/backends/ipex_attn.py,52,17
vllm/core/block/interfaces.py,vllm/core/interfaces.py,52,17
csrc/mamba/causal_conv1d/causal_conv1d.cu,csrc/mamba/mamba_ssm/selective_scan_fwd.cu,52,12
vllm/transformers_utils/tokenizer_group/ray_tokenizer_group.py,vllm/transformers_utils/tokenizer_group/tokenizer_group.py,52,12
vllm/model_executor/layers/fused_moe/fused_moe_method_base.py,vllm/model_executor/layers/fused_moe/unquantized_fused_moe_method.py,52,12
docs/source/dev/offline_inference/llm_inputs.rst,vllm/inputs/__init__.py,52,12
tests/spec_decode/e2e/test_medusa_correctness.py,tests/spec_decode/e2e/test_mlp_correctness.py,52,12
tests/models/language/pooling/test_gte.py,tests/models/language/pooling/test_nomic.py,52,10
csrc/quantization/fp4/nvfp4_experts_quant.cu,csrc/quantization/fp4/nvfp4_quant_kernels.cu,52,10
vllm/model_executor/models/aquila.py,vllm/transformers_utils/configs/aquila.py,52,10
docs/source/dev/offline_inference/llm_inputs.rst,tests/mq_llm_engine/test_error_handling.py,52,10
tests/samplers/test_rejection_sampler.py,vllm/model_executor/layers/spec_decode_base_sampler.py,52,10
tests/spec_decode/e2e/test_logprobs.py,tests/spec_decode/e2e/test_ngram_correctness.py,52,10
tests/v1/core/test_prefix_caching.py,vllm/v1/core/kv_cache_manager.py,51,66
csrc/cache.h,csrc/cache_kernels.cu,51,33
vllm/v1/worker/gpu/input_batch.py,vllm/v1/worker/gpu/model_runner.py,51,31
tests/v1/sample/test_sampler.py,tests/v1/worker/test_gpu_input_batch.py,51,22
vllm/core/block_manager_v1.py,vllm/core/interfaces.py,51,20
vllm/core/block/interfaces.py,vllm/core/block_manager_v2.py,51,20
vllm/model_executor/layers/fused_moe/deepep_ll_prepare_finalize.py,vllm/model_executor/layers/fused_moe/pplx_prepare_finalize.py,51,18
vllm/spec_decode/batch_expansion.py,vllm/spec_decode/interfaces.py,51,16
tests/v1/sample/test_rejection_sampler.py,tests/v1/sample/test_sampler.py,51,16
vllm/model_executor/layers/fused_moe/deepep_ht_prepare_finalize.py,vllm/model_executor/layers/fused_moe/pplx_prepare_finalize.py,51,16
vllm/core/block/common.py,vllm/core/block/prefix_caching_block.py,51,16
vllm/core/block/block_table.py,vllm/core/block/interfaces.py,51,16
vllm/model_executor/layers/fused_moe/fused_moe_modular_method.py,vllm/model_executor/layers/fused_moe/unquantized_fused_moe_method.py,51,14
vllm/attention/backends/torch_sdpa.py,vllm/attention/backends/xformers.py,50,40
tests/v1/core/utils.py,tests/v1/kv_connector/unit/utils.py,50,24
vllm/core/block/prefix_caching_block.py,vllm/core/block_manager_v2.py,50,22
vllm/model_executor/models/falcon.py,vllm/model_executor/models/gpt_j.py,50,20
vllm/model_executor/models/falcon.py,vllm/model_executor/models/gpt_neox.py,50,20
vllm/model_executor/models/bloom.py,vllm/model_executor/models/gpt_j.py,50,20
.github/workflows/mypy.yaml,.github/workflows/yapf.yml,50,20
vllm/entrypoints/openai/tool_parsers/hermes_tool_parser.py,vllm/entrypoints/openai/tool_parsers/mistral_tool_parser.py,50,20
vllm/model_executor/models/falcon_h1.py,vllm/model_executor/models/nemotron_h.py,50,18
tests/spec_decode/test_multi_step_worker.py,vllm/spec_decode/multi_step_worker.py,50,18
benchmarks/kernels/deepgemm/benchmark_fp8_block_dense_gemm.py,tests/kernels/quantization/test_block_fp8.py,50,16
vllm/v1/worker/gpu/input_batch.py,vllm/v1/worker/gpu/spec_decode/eagle.py,50,16
csrc/layernorm_kernels.cu,csrc/layernorm_quant_kernels.cu,50,16
vllm/spec_decode/ngram_worker.py,vllm/spec_decode/top1_proposer.py,50,14
tests/spec_decode/test_multi_step_worker.py,tests/spec_decode/utils.py,50,14
vllm/model_executor/models/mistral.py,vllm/model_executor/models/yi.py,50,12
vllm/v1/executor/ray_executor.py,vllm/v1/executor/ray_utils.py,50,12
cacheflow/master/server.py,simple_server.py,50,12
vllm/entrypoints/openai/rpc/client.py,vllm/entrypoints/openai/rpc/server.py,50,12
cacheflow/core/scheduler.py,cacheflow/server/llm_server.py,50,12
vllm/model_executor/layers/fused_moe/deepep_ht_prepare_finalize.py,vllm/model_executor/layers/fused_moe/prepare_finalize.py,50,12
vllm/model_executor/model_loader/gguf_loader.py,vllm/model_executor/model_loader/tensorizer_loader.py,50,12
cacheflow/models/memory_analyzer.py,cacheflow/models/model_utils.py,50,12
vllm/model_executor/model_loader/sharded_state_loader.py,vllm/model_executor/model_loader/tensorizer_loader.py,50,10
docs/source/dev/multimodal/multimodal_index.rst,tests/mq_llm_engine/utils.py,50,10
vllm/model_executor/model_loader/openvino.py,vllm/worker/openvino_model_runner.py,50,10
vllm/model_executor/model_loader/base_loader.py,vllm/model_executor/model_loader/gguf_loader.py,50,10
tests/distributed/test_context_parallel.py,vllm/attention/ops/common.py,50,10
vllm/entrypoints/openai/tool_parsers/internlm2_tool_parser.py,vllm/entrypoints/openai/tool_parsers/llama_tool_parser.py,50,10
cacheflow/models/llama.py,cacheflow/models/memory_analyzer.py,50,10
vllm/model_executor/model_loader/runai_streamer_loader.py,vllm/model_executor/model_loader/tensorizer_loader.py,50,10
csrc/ops.h,vllm/_custom_ops.py,49,169
vllm/entrypoints/openai/serving_chat.py,vllm/entrypoints/openai/serving_completion.py,49,148
tests/quantization/test_compressed_tensors.py,vllm/model_executor/layers/quantization/compressed_tensors/compressed_tensors.py,49,69
vllm/attention/backends/flash_attn.py,vllm/attention/backends/xformers.py,49,57
vllm/v1/metrics/loggers.py,vllm/v1/metrics/stats.py,49,53
benchmarks/benchmark_latency.py,benchmarks/benchmark_throughput.py,48,65
vllm/model_executor/models/blip2.py,vllm/model_executor/models/fuyu.py,48,38
vllm/entrypoints/openai/serving_embedding.py,vllm/entrypoints/openai/serving_pooling.py,48,35
.github/workflows/mypy.yaml,format.sh,48,33
vllm/attention/backends/blocksparse_attn.py,vllm/attention/backends/xformers.py,48,29
tests/entrypoints/llm/test_guided_generate.py,vllm/model_executor/guided_decoding/__init__.py,48,27
vllm/model_executor/layers/fused_moe/batched_deep_gemm_moe.py,vllm/model_executor/layers/fused_moe/fused_batched_moe.py,48,27
vllm/v1/core/kv_cache_coordinator.py,vllm/v1/core/single_type_kv_cache_manager.py,48,25
vllm/model_executor/models/gpt_neox.py,vllm/model_executor/models/mpt.py,48,19
vllm/model_executor/models/gpt_j.py,vllm/model_executor/models/mpt.py,48,19
csrc/rocm/attention.cu,csrc/rocm/ops.h,48,17
vllm/core/block/naive_block.py,vllm/core/interfaces.py,48,17
cacheflow/core/scheduler.py,cacheflow/sequence.py,48,17
